No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
23,Robert Alford\AlfoRo00,30,CB,7,7,186,5-10,SE Louisiana,11/1/1988,5,,Atlanta Falcons / 2nd / 60th pick / 2013,$9000000
37,Ricardo Allen\AlleRi00,27,CB,3,3,186,5-9,Purdue,12/18/1991,4,,Atlanta Falcons / 5th / 147th pick / 2014,$1914000
44,Vic Beasley\BeasVi00,26,OLB,7,6,246,6-3,Clemson,7/8/1992,3,,Atlanta Falcons / 1st / 8th pick / 2015,$705000
93,Michael Bennett\BennMi01,25,DT,2,0,287,6-2,Ohio St.,2/24/1993,3,,Jacksonville Jaguars / 6th / 180th pick / 2015,$539118
28,Justin Bethel\BethJu00,28,CB,5,0,200,6-0,Presbyterian,6/17/1990,6,,Arizona Cardinals / 6th / 177th pick / 2012,$850000
5,Matthew Bosher\BoshMa00,31,P,7,0,208,6-0,Miami (FL),10/18/1987,7,,Atlanta Falcons / 6th / 192nd pick / 2011,$2200000
3,Matt Bryant\bryanmat01,43,K,6,0,203,5-9,Baylor,5/29/1975,16,,,$1100000
59,De'Vondre Campbell\CampDe00,25,OLB,7,7,232,6-4,Minnesota,7/3/1993,2,,Atlanta Falcons / 4th / 115th pick / 2016,$630000
55,Bruce Carter\CartBr00,30,LB,4,0,240,6-2,North Carolina,2/19/1988,7,,Dallas Cowboys / 2nd / 40th pick / 2011,$753529
26,Tevin Coleman\ColeTe01,25,RB,7,5,210,6-1,Indiana,4/16/1993,3,,Atlanta Falcons / 3rd / 73rd pick / 2015,$791628
95,Jack Crawford\CrawJa00,30,DE,7,3,288,6-5,Penn St.,9/7/1988,6,,Oakland Raiders / 5th / 158th pick / 2012,$2250000
24,Devonta Freeman\FreeDe00,26,RB,2,2,206,5-8,Florida St.,3/15/1992,4,,Atlanta Falcons / 4th / 103rd pick / 2014,$2000000
65,Brandon Fusco\FuscBr00,30,OL,7,7,306,6-4,Slippery Rock,7/26/1988,7,,Minnesota Vikings / 6th / 172nd pick / 2011,$2250000
83,Russell Gage\GageRu00,22,WR,6,0,184,6-0,LSU,1/22/1996,Rook,,Atlanta Falcons / 6th / 194th pick / 2018,$480000
63,Ben Garland\GarlBe00,30,DL,5,0,308,6-5,Air Force,4/6/1988,7,,,$2914000
77,Matt Gono\GonoMa00,22,T,,,305,6-4,,5/10/1996,Rook,,,$480000
17,Marvin Hall\HallMa02,25,WR,7,0,190,5-10,,4/10/1993,1,,,$555000
14,Justin Hardy\HardJu00,27,WR,7,0,192,5-10,East Carolina,12/18/1991,3,,Atlanta Falcons / 4th / 107th pick / 2015,$705000
47,Josh Harris\HarrJo02,29,LS,6,0,224,6-1,Auburn,4/27/1989,6,,,$805000
32,Brian Hill\HillBr02,23,RB,2,0,219,6-1,Wyoming,11/9/1995,1,,Atlanta Falcons / 5th / 156th pick / 2017,$522353
81,Austin Hooper\HoopAu00,24,TE,7,2,254,6-4,Stanford,11/4/1994,2,,Atlanta Falcons / 3rd / 81st pick / 2016,$630000
36,Kemal Ishmael\IshmKe00,27,DB,7,0,206,6-0,Central Florida,5/6/1991,5,,Atlanta Falcons / 7th / 243rd pick / 2013,$790000
97,Grady Jarrett\JarrGr00,25,DT,5,5,305,6-0,Clemson,4/28/1993,3,,Atlanta Falcons / 5th / 137th pick / 2015,$1907000
45,Deion Jones\JoneDe01,24,OLB,1,1,227,6-1,LSU,11/4/1994,2,,Atlanta Falcons / 2nd / 52nd pick / 2016,$863240
11,Julio Jones\JoneJu02,29,WR,7,7,220,6-3,Alabama,2/3/1989,7,,Atlanta Falcons / 1st / 6th pick / 2011,$9000000
27,Damontae Kazee\KazeDa00,25,CB,7,6,190,5-11,San Diego St.,6/5/1993,1,,Atlanta Falcons / 5th / 149th pick / 2017,$555000
67,Andy Levitre\LeviAn20,32,G,2,2,303,6-2,Oregon St.,5/15/1986,9,,Buffalo Bills / 2nd / 51st pick / 2009,$3500000
51,Alex Mack\MackAl20,33,C,7,7,311,6-4,California,11/19/1985,9,,Cleveland Browns / 1st / 21st pick / 2009,$8500000
70,Jake Matthews\MattJa00,26,OT,7,7,309,6-5,Texas A&M,2/11/1992,4,,Atlanta Falcons / 1st / 6th pick / 2014,$5500000
99,Terrell McClain\McClTe00,30,DL,7,5,302,6-2,South Florida,7/20/1988,7,,Carolina Panthers / 3rd / 65th pick / 2011,$825000
98,Takkarist McKinley\McKiTa00,23,OLB,6,5,230,6-4,UCLA,11/2/1995,1,,Atlanta Falcons / 1st / 26th pick / 2017,$929388
56,Steven Means\MeanSt00,28,DE,4,1,263,6-3,Buffalo,9/16/1990,5,,Tampa Bay Buccaneers / 5th / 147th pick / 2013,$790000
22,Keanu Neal\NealKe01,23,FS,1,1,216,6-1,Florida,7/26/1995,2,,Atlanta Falcons / 1st / 17th pick / 2016,$1426150
41,Sharrod Neasman\NeasSh00,27,S,3,0,198,6-0,Florida Atlantic,10/14/1991,2,,,$518824
72,Rees Odhiambo\OdhiRe00,26,OG,,,315,6-4,Boise St.,9/23/1992,2,,Seattle Seahawks / 3rd / 97th pick / 2016,
20,Isaiah Oliver\OlivIs00,22,CB,5,1,210,6-0,Colorado,9/30/1996,Rook,,Atlanta Falcons / 2nd / 58th pick / 2018,$480000
54,Foyesade Oluokun\OluoFo00,23,S,7,1,215,6-2,Yale,8/2/1995,Rook,,Atlanta Falcons / 6th / 200th pick / 2018,$480000
30,Ricky Ortiz\OrtiRi00,24,FB,7,6,233,6-0,,4/15/1994,Rook,,,$480000
68,Austin Pasztor\PaszAu00,28,OL,,,305,6-7,Virginia,11/26/1990,6,,,
82,Logan Paulsen\PaulLo00,31,TE,7,6,268,6-5,UCLA,2/26/1987,8,,,$915000
34,Brian Poole\PoolBr01,26,S,7,6,211,5-10,Florida,10/20/1992,2,,,$630000
50,Brooks Reed\ReedBr00,31,DL,7,2,254,6-3,Arizona,2/28/1987,7,,Houston Texans / 2nd / 42nd pick / 2011,$3000000
29,Jordan Richards\RichJo00,25,SS,6,3,210,5-11,Stanford,1/21/1993,3,,New England Patriots / 2nd / 64th pick / 2015,$941121
18,Calvin Ridley\RidlCa00,24,WR,7,0,190,6-1,Alabama,12/20/1994,Rook,,Atlanta Falcons / 1st / 26th pick / 2018,$480000
42,Duke Riley\RileDu00,24,OLB,7,6,230,6-1,LSU,8/9/1994,1,,Atlanta Falcons / 3rd / 75th pick / 2017,$616500
2,Matt Ryan\RyanMa00,33,QB,7,7,217,6-4,Boston Col.,5/17/1985,10,,Atlanta Falcons / 1st / 3rd pick / 2008,$6000000
74,Ty Sambrailo\SambTy00,26,OT,7,0,315,6-5,Colorado St.,3/10/1992,3,,Denver Broncos / 2nd / 59th pick / 2015,$959447
12,Mohamed Sanu\SanuMo00,29,WR,7,7,215,6-2,Rutgers,8/22/1989,6,,Cincinnati Bengals / 3rd / 83rd pick / 2012,$6125000
85,Eric Saubert\SaubEr00,24,TE,7,0,253,6-5,Drake,5/1/1994,1,,Atlanta Falcons / 5th / 174th pick / 2017,$555000
8,Matt Schaub\SchaMa00,37,QB,2,0,245,6-6,Virginia,6/25/1981,14,,Atlanta Falcons / 3rd / 90th pick / 2004,$2750000
73,Ryan Schraeder\SchrRy00,30,T,7,7,300,6-7,Valdosta St.,5/4/1988,5,,,$5000000
71,Wes Schweitzer\SchwWe00,25,OT,7,5,314,6-5,San Jose St.,9/11/1993,1,,Atlanta Falcons / 6th / 195th pick / 2016,$630000
94,Deadrin Senat\SenaDe00,24,DT,7,1,305,6-1,South Florida,7/22/1994,Rook,,Atlanta Falcons / 3rd / 90th pick / 2018,$480000
90,Derrick Shelby\ShelDe00,29,DE,3,0,280,6-2,Utah,3/4/1989,6,,,$2000000
25,Ito Smith\SmitIt00,23,RB,7,0,195,5-9,Southern Miss,9/11/1995,Rook,,Atlanta Falcons / 4th / 126th pick / 2018,$480000
35,Keith Tandy\TandKe00,29,S,5,0,205,5-10,West Virginia,2/12/1989,6,,Tampa Bay Buccaneers / 6th / 174th pick / 2012,$743529
4,Giorgio Tavecchio\TaveGi00,28,K,1,0,180,5-10,California,7/16/1990,1,,,$359117
21,Desmond Trufant\TrufDe00,28,CB,7,7,190,6-0,Washington,9/10/1990,5,,Atlanta Falcons / 1st / 22nd pick / 2013,$8500000
33,Blidi Wreh-Wilson\WrehBl00,29,CB,2,0,190,6-1,Connecticut,12/5/1989,5,,Tennessee Titans / 3rd / 70th pick / 2013,$790000
