No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
57,Lorenzo Alexander\AlexLo99,35,DT/LB,7,2,245,6-1,California,5/31/1983,11,,,$2450000
17,Josh Allen\AlleJo02,22,QB,6,5,237,6-5,Wyoming,5/21/1996,Rook,,Buffalo Bills / 1st / 7th pick / 2018,$480000
3,Derek Anderson\AndeDe00,35,QB,1,1,235,6-6,Oregon St.,6/15/1983,12,,Baltimore Ravens / 6th / 213th pick / 2005,$716471
13,Kelvin Benjamin\BenjKe00,27,WR,7,6,245,6-5,Florida St.,2/5/1991,4,,Carolina Panthers / 1st / 28th pick / 2014,$8459000
66,Russell Bodine\BodiRu00,26,OG,6,5,308,6-3,North Carolina,6/30/1992,4,,Cincinnati Bengals / 4th / 111th pick / 2014,$1150000
65,Ike Boettger\BoetIk00,24,G,,,313,6-6,,10/5/1994,Rook,,,$451760
9,Corey Bojorquez\BojoCo00,22,P,7,0,208,6-0,,9/13/1996,Rook,,,$480000
20,Rafael Bush\BushRa00,31,S,6,3,203,5-11,South Carolina St.,5/12/1987,7,,,$1300000
7,Cory Carter\CartCo00,24,P,,,220,5-11,,3/5/1994,Rook,,,$363000
85,Charles Clay\ClayCh00,29,TE,7,6,255,6-3,Tulsa,2/13/1989,7,,Miami Dolphins / 6th / 174th pick / 2011,$4500000
80,Jason Croom\CrooJa00,24,TE,7,0,246,6-5,Tennessee,2/28/1994,Rook,,,$480000
73,Dion Dawkins\DawkDi00,24,OG,7,7,320,6-5,Temple,4/26/1994,1,,Buffalo Bills / 2nd / 63rd pick / 2017,$655147
42,Patrick DiMarco\DiMaPa00,29,FB,7,2,234,6-1,South Carolina,4/30/1989,6,,,$1500000
62,Vlad Ducasse\DucaVl20,31,G,7,7,329,6-5,Massachusetts,10/15/1987,8,,New York Jets / 2nd / 61st pick / 2010,$1300000
49,Tremaine Edmunds\EdmuTr01,20,ILB,7,7,250,6-5,Virginia Tech,5/2/1998,Rook,,Buffalo Bills / 1st / 16th pick / 2018,$480000
69,Reid Ferguson\FergRe00,24,LS,7,0,244,6-1,LSU,3/24/1994,1,,,$555000
28,Phillip Gaines\GainPh00,27,CB,5,4,193,6-0,Rice,4/4/1991,4,,Kansas City Chiefs / 3rd / 87th pick / 2014,$790000
72,Ryan Groy\GroyRy00,28,OG,6,2,320,6-5,Wisconsin,9/30/1990,4,,,$1500000
4,Steven Hauschka\HausSt00,33,K,7,0,210,6-4,MiddleburyNorth Carolina St.,6/29/1985,10,,,$1750000
18,Andre Holmes\HolmAn00,30,WR,7,2,210,6-4,Hillsdale,6/16/1988,7,,,$1000000
55,Jerry Hughes\HughJe99,30,DE,7,7,254,6-2,TCU,8/13/1988,8,,Indianapolis Colts / 1st / 31st pick / 2010,$6350000
50,Ramon Humber\HumbRa00,31,LB,7,0,232,5-11,North Dakota St.,8/10/1987,9,,,$915000
23,Micah Hyde\HydeMi00,28,CB,6,6,197,6-0,Iowa,12/31/1990,5,,Green Bay Packers / 5th / 159th pick / 2013,$3700000
33,Chris Ivory\IvorCh00,30,RB,7,1,223,6-0,Washington St.Tiffin,3/22/1988,8,,,$1000000
36,Dontae Johnson\JohnDo02,27,FS,1,0,200,6-2,North Carolina St.,12/1/1991,4,,San Francisco 49ers / 4th / 129th pick / 2014,$604118
24,Taron Johnson\JohnTa01,22,CB,6,1,192,5-11,Weber St.,7/27/1996,Rook,,Buffalo Bills / 4th / 121st pick / 2018,$480000
26,Taiwan Jones\JoneTa00,30,RB,6,0,195,6-0,East. Washington,7/26/1988,7,,Oakland Raiders / 4th / 125th pick / 2011,$790000
11,Zay Jones\JoneZa00,23,WR,7,7,200,6-2,East Carolina,3/30/1995,1,,Buffalo Bills / 2nd / 37th pick / 2017,$773174
44,Deon Lacey\LaceDe00,28,LB,7,0,235,6-3,West Alabama,7/18/1990,1,,,$555000
90,Shaq Lawson\LawsSh00,24,DE,5,1,267,6-3,Clemson,6/17/1994,2,,Buffalo Bills / 1st / 19th pick / 2016,$1384452
38,Ryan Lewis\LewiRy01,24,DB,3,3,195,6-0,,4/15/1994,Rook,,,$480000
98,Star Lotulelei\LotuSt00,29,DT,7,7,315,6-2,Utah,12/20/1989,5,,Carolina Panthers / 1st / 14th pick / 2013,$3500000
14,Ray-Ray McCloud\McClRa00,22,WR,4,1,190,5-9,Clemson,10/15/1996,Rook,,Buffalo Bills / 6th / 187th pick / 2018,$480000
25,LeSean McCoy\McCoLe01,30,RB,6,6,210,5-11,Pittsburgh,7/12/1988,9,,Philadelphia Eagles / 2nd / 53rd pick / 2009,$6075000
68,Conor McDermott\McDeCo00,26,OT,1,0,305,6-8,UCLA,10/19/1992,1,,New England Patriots / 6th / 211th pick / 2017,$555000
58,Matt Milano\MilaMa00,24,OLB,7,7,223,6-0,Boston Col.,7/28/1994,1,,Buffalo Bills / 5th / 163rd pick / 2017,$555000
76,John Miller\MillJo04,25,OG,7,7,315,6-3,Louisville,8/12/1993,3,,Buffalo Bills / 3rd / 81st pick / 2015,$1872000
79,Jordan Mills\MillJo02,28,OT,7,7,316,6-5,Louisiana Tech,12/24/1990,5,,Chicago Bears / 5th / 163rd pick / 2013,$1500000
45,Marcus Murphy\MurpMa03,27,RB,4,0,195,5-9,Missouri,3/10/1991,3,,New Orleans Saints / 7th / 230th pick / 2015,$630000
93,Trent Murphy\MurpTr00,28,DE,7,6,260,6-6,Stanford,12/22/1990,4,,Washington Redskins / 2nd / 47th pick / 2014,$2625000
29,Siran Neal\NealSi00,24,CB,7,0,206,6-0,Jacksonville St.,8/4/1994,Rook,,Buffalo Bills / 5th / 154th pick / 2018,$480000
2,Nathan Peterman\PeteNa00,24,QB,2,1,225,6-2,TennesseePittsburgh,5/4/1994,1,,Buffalo Bills / 5th / 171st pick / 2017,$555000
87,Cam Phillips\PhilCa01,23,WR,1,0,201,6-0,Virginia Tech,12/16/1995,Rook,,,$129200
99,Harrison Phillips\PhilHa00,22,DT,7,0,307,6-3,Stanford,1/25/1996,Rook,,Buffalo Bills / 3rd / 96th pick / 2018,$480000
97,Jordan Phillips\PhilJo01,26,DT,3,0,341,6-6,Oklahoma,9/21/1992,3,,Miami Dolphins / 2nd / 52nd pick / 2015,$1029942
30,Lafayette Pitts\PittLa00,26,CB,7,0,195,5-11,Pittsburgh,9/24/1992,2,,,$630000
21,Jordan Poyer\PoyeJo00,27,CB,7,7,191,6-0,Oregon St.,4/25/1991,5,,Philadelphia Eagles / 7th / 218th pick / 2013,$2500000
74,Jeremiah Sirles\SirlJe00,27,OT,3,2,315,6-6,Nebraska,8/8/1991,4,,,$650588
51,Julian Stanford\StanJu00,28,LB,5,0,230,6-1,Wagner,9/2/1990,6,,,$1200000
75,Wyatt Teller\TellWy00,24,OG,,,314,6-4,Virginia Tech,11/21/1994,Rook,,Buffalo Bills / 5th / 166th pick / 2018,$480000
82,Logan Thomas\ThomLo00,27,QB/TE,5,1,250,6-6,Virginia Tech,7/1/1991,4,,Arizona Cardinals / 4th / 120th pick / 2014,$790000
27,TreDavious White\WhitTr01,23,CB,7,7,192,5-11,LSU,1/16/1995,1,,Buffalo Bills / 1st / 27th pick / 2017,$923687
95,Kyle Williams\WillKy20,35,DT,7,7,303,6-1,LSU,6/10/1983,12,,Buffalo Bills / 5th / 134th pick / 2006,$2250000
54,Eddie Yarbrough\YarbEd01,25,DE,7,0,259,6-3,Wyoming,4/24/1993,1,,,$555000
,Team Total,26.9,,7,,244.6,6-2.1,,,4.1,,,
