No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
29,Mike Adams\AdamMi21,37,DB,6,6,205,5-11,Delaware,3/24/1981,14,,,$1500000
97,Mario Addison\AddiMa00,31,DE,6,6,260,6-3,Troy,9/6/1987,7,,,$6250000
20,C.J. Anderson\AndeC.00,27,RB,6,1,225,5-8,California,2/10/1991,5,,,$800000
40,Alex Armah\ArmaAl00,24,FB,6,1,255,6-2,West Georgia,5/17/1994,1,,Carolina Panthers / 6th / 192nd pick / 2017,$555000
34,Cameron Artis-Payne\ArtiCa00,28,RB,2,0,215,5-10,Auburn,6/23/1990,3,,Carolina Panthers / 5th / 174th pick / 2015,$705000
24,James Bradberry\BradJa00,25,CB,6,6,212,6-1,SamfordArkansas St.,8/4/1993,2,,Carolina Panthers / 2nd / 62nd pick / 2016,$810076
92,Vernon Butler\ButlVe00,24,DT,6,0,330,6-4,Louisiana Tech,6/14/1994,2,,Carolina Panthers / 1st / 30th pick / 2016,$1213319
18,Damiere Byrd\ByrdDa00,25,WR,3,0,180,5-9,South Carolina,1/27/1993,2,,,$630000
56,Jermaine Carter\CartJe00,23,LB,6,0,225,6-0,Maryland,1/14/1995,Rook,,Carolina Panthers / 5th / 161st pick / 2018,$480000
74,Chris Clark\ClarCh21,33,T,5,5,305,6-5,Southern Miss,10/1/1985,8,,,$861176
47,Ross Cockrell\CockRo00,27,CB,,,190,6-0,Duke,8/6/1991,4,,Buffalo Bills / 4th / 109th pick / 2014,$900000
91,Bryan Cox\CoxxBr01,24,DE,2,0,270,6-3,Florida,6/25/1994,1,,,$555000
58,Thomas Davis\DaviTh20,35,LB,2,2,235,6-1,Georgia,3/22/1983,13,,Carolina Panthers / 1st / 14th pick / 2005,$3500000
35,Corn Elder\EldeCo00,24,CB,3,0,185,5-10,Miami (FL),10/9/1994,Rook,,Carolina Panthers / 5th / 152nd pick / 2017,$480000
17,Devin Funchess\FuncDe00,24,WR,6,6,225,6-4,Michigan,5/21/1994,3,,Carolina Panthers / 2nd / 41st pick / 2015,$1087850
9,Graham Gano\GanoGr44,31,K,6,0,202,6-2,Florida St.,4/9/1987,9,,,$1850000
28,Rashaan Gaulden\GaulRa00,23,CB,6,0,200,6-0,Tennessee,1/23/1995,Rook,,Carolina Panthers / 3rd / 85th pick / 2018,$480000
23,Josh Hawkins\HawkJo00,25,CB,4,0,190,5-10,East Carolina,1/23/1993,2,,,$555882
98,Marquis Haynes\HaynMa01,25,OLB,1,0,235,6-2,Mississippi,12/16/1993,Rook,,Carolina Panthers / 4th / 136th pick / 2018,$480000
6,Taylor Heinicke\HeinTa00,25,QB,,,210,6-1,,3/15/1993,1,,,$705000
30,Elijah Hood\HoodEl00,22,RB,,,230,5-11,North Carolina,4/22/1996,1,,Oakland Raiders / 7th / 242nd pick / 2017,$363000
96,Wes Horton\HortWe00,29,DE,6,3,265,6-5,USC,12/17/1989,5,,,$900000
26,Donte Jackson\JackDo02,23,CB,6,6,180,5-10,LSU,11/8/1995,Rook,,Carolina Panthers / 2nd / 55th pick / 2018,$480000
53,Ben Jacobs\JacoBe00,30,LB,6,0,240,6-4,Fresno St.,4/17/1988,7,,,$790000
44,J.J. Jansen\JansJ.00,32,C,6,0,235,6-2,Notre Dame,1/20/1986,9,,,$915000
42,Colin Jones\JoneCo01,31,DB,6,1,205,6-0,TCU,10/27/1987,7,,San Francisco 49ers / 6th / 190th pick / 2011,$1100000
75,Matt Kalil\KaliMa00,29,OT,,,315,6-7,USC,7/6/1989,6,,Minnesota Vikings / 1st / 4th pick / 2012,$1000000
67,Ryan Kalil\KaliRy20,33,C,6,6,300,6-2,USC,3/29/1985,11,,Carolina Panthers / 2nd / 59th pick / 2007,$4500000
59,Luke Kuechly\KuecLu00,27,ILB,6,6,238,6-3,Boston Col.,4/20/1991,6,,Carolina Panthers / 1st / 9th pick / 2012,$790000
69,Tyler Larsen\LarsTy00,27,C,6,2,325,6-4,Utah St.,7/8/1991,2,,,$630000
93,Kyle Love\LoveKy00,32,DT,6,0,310,6-1,Mississippi St.,11/18/1986,8,,,$915000
63,Brendan Mahon\MahoBr00,23,G,2,0,320,6-4,,1/17/1995,Rook,,,$480000
82,Chris Manhertz\ManhCh00,26,TE,6,1,255,6-6,Canisius,4/10/1992,4,,,$630000
55,David Mayo\MayoDa00,25,ILB,6,3,245,6-2,Texas St.,8/8/1993,3,,Carolina Panthers / 5th / 169th pick / 2015,$705000
22,Christian McCaffrey\McCaCh01,22,RB,6,6,205,5-11,Stanford,6/7/1996,1,,Carolina Panthers / 1st / 8th pick / 2017,$1248695
12,D.J. Moore\MoorD.00,21,WR,6,0,215,5-11,Maryland,4/14/1997,Rook,,Carolina Panthers / 1st / 24th pick / 2018,$480000
72,Taylor Moton\MotoTa00,24,OT,6,6,325,6-5,West. Michigan,8/18/1994,1,,Carolina Panthers / 2nd / 64th pick / 2017,$654007
41,Captain Munnerlyn\MunnCa99,30,DB,6,1,195,5-9,South Carolina,4/10/1988,9,,Carolina Panthers / 7th / 216th pick / 2009,$1900000
71,Marshall Newhouse\NewhMa20,30,GT,1,0,330,6-4,TCU,9/29/1988,7,,Green Bay Packers / 5th / 169th pick / 2010,$823529
1,Cam Newton\NewtCa00,29,QB,6,6,245,6-5,FloridaBlinn College (TX)Auburn,5/11/1989,7,,Carolina Panthers / 1st / 1st pick / 2011,$14500000
52,Jared Norris\NorrJa00,25,LB,3,0,238,6-1,Utah,7/19/1993,2,,,$630000
71,Efe Obada\ObadEf00,26,LB,4,0,265,6-6,,4/13/1992,Rook,,,$480000
88,Greg Olsen\OlseGr00,33,TE,3,3,255,6-5,Miami (FL),3/11/1985,11,,Chicago Bears / 1st / 31st pick / 2007,$1015000
