No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
93,Sam Acho\AchoSa00,30,OLB,4,0,259,6-3,Texas,9/6/1988,7,,Arizona Cardinals / 4th / 103rd pick / 2011,$1450000
38,Adrian Amos\AmosAd00,25,FS,6,6,214,6-0,Penn St.,4/29/1993,3,,Chicago Bears / 5th / 142nd pick / 2015,$1907000
20,Prince Amukamara\AmukPr00,29,CB,5,5,204,6-0,Nebraska,6/6/1989,7,,New York Giants / 1st / 19th pick / 2011,$3500000
15,Josh Bellamy\BellJo02,29,WR,6,1,208,6-0,Louisville,5/18/1989,6,,,$1907000
84,Ben Braunecker\BrauBe00,24,TE,6,0,252,6-4,Harvard,2/7/1994,2,,,$630000
85,Daniel Brown\BrowDa04,26,WR,5,0,247,6-5,James Madison,5/26/1992,3,,,$705000
90,Jonathan Bullard\BullJo00,25,DE,6,1,296,6-3,Florida,10/22/1993,2,,Chicago Bears / 3rd / 72nd pick / 2016,$718000
46,Michael Burton\BurtMi00,26,FB,3,1,240,6-0,Rutgers,2/1/1992,3,,Detroit Lions / 5th / 168th pick / 2015,$705000
80,Trey Burton\BurtTr01,27,TE,6,6,235,6-3,Florida,10/29/1991,4,,,$2800000
26,Deon Bush\BushDe00,25,FS,6,0,205,6-0,Miami (FL),8/14/1993,2,,Chicago Bears / 4th / 124th pick / 2016,$630000
37,Bryce Callahan\CallBr00,27,CB,6,5,188,5-9,Rice,10/23/1991,3,,,$1907000
29,Tarik Cohen\CoheTa00,23,RB,6,3,181,5-6,North Carolina A&T,7/26/1995,1,,Chicago Bears / 4th / 119th pick / 2017,$555000
31,Marcus Cooper\CoopMa00,28,CB,2,0,197,6-2,Rutgers,2/1/1990,5,,San Francisco 49ers / 7th / 252nd pick / 2013,$900000
69,Rashaad Coward\CowaRa00,24,DT,,,320,6-5,,11/6/1994,1,,,$555000
30,Benny Cunningham\CunnBe01,28,RB,6,0,218,5-10,Middle Tenn. St.,7/7/1990,5,,,$800000
4,Chase Daniel\DaniCh00,32,QB,2,0,225,6-0,Missouri,10/7/1986,9,,,$2000000
68,James Daniels\DaniJa01,21,C,6,0,295,6-4,Iowa,9/13/1997,Rook,,Chicago Bears / 2nd / 39th pick / 2018,$480000
49,Kylie Fitts\FittKy00,24,DE,,,265,6-4,Utah,10/11/1994,Rook,,Chicago Bears / 6th / 181st pick / 2018,$480000
94,Leonard Floyd\FloyLe00,26,OLB,6,6,251,6-4,Georgia,9/8/1992,2,,Chicago Bears / 1st / 9th pick / 2016,$1884806
23,Kyle Fuller\FullKy00,26,CB,6,6,190,5-11,Virginia Tech,2/16/1992,4,,Chicago Bears / 1st / 14th pick / 2014,$1000000
18,Taylor Gabriel\GabrTa00,27,WR,6,4,165,5-8,Abilene Christian,2/17/1991,4,,,$2500000
91,Eddie Goldman\GoldEd00,24,DT,6,6,320,6-4,Florida St.,1/6/1994,3,,Chicago Bears / 2nd / 39th pick / 2015,$1210407
96,Akiem Hicks\HickAk00,29,DE,6,6,332,6-5,Regina (Canada),11/16/1989,6,,New Orleans Saints / 3rd / 89th pick / 2012,$4500000
36,DeAndre Houston-Carson\HousDe00,25,FS,3,0,205,6-1,William & Mary,4/13/1993,2,,Chicago Bears / 6th / 185th pick / 2016,$630000
24,Jordan Howard\HowaJo00,24,RB,6,6,224,6-0,Indiana,11/2/1994,2,,Chicago Bears / 5th / 150th pick / 2016,$630000
47,Isaiah Irving\IrviIs00,24,OLB,3,0,254,6-2,San Jose St.,9/6/1994,1,,,$555000
45,Joel Iyiegbuniwe\IyieJo00,23,LB,6,0,230,6-1,West. Kentucky,10/12/1995,Rook,,Chicago Bears / 4th / 115th pick / 2018,$480000
39,Eddie Jackson\JackEd01,26,SS,6,6,202,6-0,Alabama,12/10/1992,1,,Chicago Bears / 4th / 112th pick / 2017,$555000
64,Eric Kush\KushEr00,29,C,6,6,317,6-4,California (PA),9/9/1989,5,,Kansas City Chiefs / 6th / 170th pick / 2013,$1400000
44,Nick Kwiatkoski\KwiaNi00,25,ILB,6,1,242,6-2,West Virginia,5/26/1993,2,,Chicago Bears / 4th / 113th pick / 2016,$630000
72,Charles Leno\LenoCh00,27,OG,6,6,306,6-3,Boise St.,10/9/1991,4,,Chicago Bears / 7th / 246th pick / 2014,$4900000
75,Kyle Long\LongKy00,30,OT,6,6,320,6-6,Oregon,12/5/1988,5,,Chicago Bears / 1st / 20th pick / 2013,$2248158
