No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
97,Geno Atkins\AtkiGe99,30,DT,7,7,300,6-1,Georgia,3/28/1988,8,,Cincinnati Bengals / 4th / 120th pick / 2010,$8000000
30,Jessie Bates\BateJe00,21,FS,7,7,200,6-1,Wake Forest,2/26/1997,Rook,,Cincinnati Bengals / 2nd / 54th pick / 2018,$480000
25,Giovani Bernard\BernGi00,27,RB,4,2,205,5-9,North Carolina,11/22/1991,5,,Cincinnati Bengals / 2nd / 37th pick / 2013,$3100000
99,Andrew Billings\BillAn00,23,DT,7,7,325,6-1,Baylor,3/6/1995,1,,Cincinnati Bengals / 4th / 122nd pick / 2016,$630000
65,Clint Boling\BoliCl00,29,OL,7,7,305,6-5,Georgia,5/9/1989,7,,Cincinnati Bengals / 4th / 101st pick / 2011,$4550000
83,Tyler Boyd\BoydTy00,24,WR,7,7,203,6-2,Pittsburgh,11/15/1994,2,,Cincinnati Bengals / 2nd / 55th pick / 2016,$787179
52,Preston Brown\BrowPr00,26,ILB,5,5,251,6-1,Louisville,10/27/1992,4,,Buffalo Bills / 3rd / 73rd pick / 2014,$1000000
4,Randy Bullock\BullRa00,29,K,7,0,210,5-9,Texas A&M,12/16/1989,6,,Houston Texans / 5th / 161st pick / 2012,$790000
55,Vontaze Burfict\BurfVo00,28,LB,3,3,255,6-1,Arizona St.,9/24/1990,6,,,$3810000
82,Cethan Carter\CartCe00,25,TE,,,245,6-3,Nebraska,9/5/1993,1,,,$378000
16,Cody Core\CoreCo00,24,WR,5,0,210,6-3,Mississippi,4/17/1994,2,,Cincinnati Bengals / 6th / 199th pick / 2016,$630000
14,Andy Dalton\DaltAn00,31,QB,7,7,220,6-2,TCU,10/29/1987,7,,Cincinnati Bengals / 2nd / 35th pick / 2011,$13700000
21,Darqueze Dennard\DennDa00,27,CB,6,3,200,5-11,Michigan St.,10/10/1991,4,,Cincinnati Bengals / 1st / 24th pick / 2014,$8526000
6,Jeff Driskel\DrisJe00,25,QB,1,0,233,6-4,FloridaLouisiana Tech,4/23/1993,Rook,,San Francisco 49ers / 6th / 207th pick / 2016,$630000
96,Carlos Dunlap\DunlCa99,29,DE,7,7,280,6-6,Florida,2/28/1989,8,,Cincinnati Bengals / 2nd / 54th pick / 2010,$1000000
85,Tyler Eifert\EifeTy00,28,TE,4,2,255,6-6,Notre Dame,9/8/1990,5,,Cincinnati Bengals / 1st / 21st pick / 2013,$1000000
12,Alex Erickson\EricAl01,26,WR,7,1,195,6-0,WisconsinWisconsin,11/6/1992,2,,,$630000
50,Jordan Evans\EvanJo01,23,ILB,7,2,242,6-3,Oklahoma,1/27/1995,1,,Cincinnati Bengals / 6th / 193rd pick / 2017,$555000
42,Clayton Fejedelem\FejeCl00,25,FS,7,0,205,6-0,Illinois,6/2/1993,2,,Cincinnati Bengals / 7th / 245th pick / 2016,$630000
74,Jake Fisher\FishJa00,25,OT,7,0,305,6-6,Oregon,4/23/1993,3,,Cincinnati Bengals / 2nd / 53rd pick / 2015,$965884
88,Jordan Franks\FranJo03,22,HB,,,240,6-4,,1/1/1996,Rook,,,$129200
98,Ryan Glasgow\GlasRy00,25,DT,3,0,300,6-3,Michigan,9/30/1993,1,,Cincinnati Bengals / 4th / 138th pick / 2017,$555000
77,Cordy Glenn\GlenCo00,29,T,7,7,345,6-6,Georgia,9/18/1989,6,,Buffalo Bills / 2nd / 41st pick / 2012,$9250000
18,A.J. Green\GreeA.00,30,WR,7,7,210,6-4,Georgia,7/31/1988,7,,Cincinnati Bengals / 1st / 4th pick / 2011,$10550000
46,Clark Harris\HarrCl20,34,TE,7,0,250,6-5,Rutgers,7/10/1984,10,,Green Bay Packers / 7th / 243rd pick / 2007,$1015000
35,Davontae Harris\HarrDa05,23,CB,,,200,5-11,Illinois St.,1/21/1995,Rook,,Cincinnati Bengals / 5th / 151st pick / 2018,$363000
68,Bobby Hart\HartBo00,24,OG,7,7,318,6-5,Florida St.,8/21/1994,3,,New York Giants / 7th / 226th pick / 2015,$705000
41,Trayvon Henderson\HendTr01,23,S,,,209,6-0,,8/15/1995,Rook,,,$363000
66,Trey Hopkins\HopkTr01,26,G,7,5,316,6-3,Texas,7/6/1992,4,,,$555000
94,Sam Hubbard\HubbSa00,23,DE,7,0,265,6-5,Ohio St.,6/29/1995,Rook,,Cincinnati Bengals / 3rd / 77th pick / 2018,$480000
10,Kevin Huber\HubeKe20,33,P,7,0,210,6-1,Cincinnati,7/16/1985,9,,Cincinnati Bengals / 5th / 142nd pick / 2009,$1400000
22,William Jackson\JackWi02,26,CB,7,7,196,6-0,HoustonTrinity Valley CC (TX),10/27/1992,1,,Cincinnati Bengals / 1st / 24th pick / 2016,$1332331
45,Malik Jefferson\JeffMa00,22,OLB,5,0,241,6-2,Texas,11/15/1996,Rook,,Cincinnati Bengals / 3rd / 78th pick / 2018,$480000
90,Michael Johnson\JohnMi98,31,DE,6,6,280,6-7,Georgia Tech,2/7/1987,9,,Cincinnati Bengals / 3rd / 70th pick / 2009,$4550000
27,Dre Kirkpatrick\KirkDr00,29,CB,7,7,196,6-2,Alabama,10/26/1989,6,,Cincinnati Bengals / 1st / 17th pick / 2012,$4750000
81,Tyler Kroft\KrofTy00,26,TE,5,2,252,6-6,Rutgers,10/15/1992,3,,Cincinnati Bengals / 3rd / 85th pick / 2015,$1897000
58,Carl Lawson\LawsCa00,23,DE,7,0,265,6-2,Auburn,6/29/1995,1,,Cincinnati Bengals / 4th / 116th pick / 2017,$555000
89,Matt Lengel\LengMa00,28,TE,2,0,265,6-7,NortheasternEast. Kentucky,12/27/1990,2,,,$444706
80,Josh Malone\MaloJo00,22,WR,6,0,205,6-3,Tennessee,3/21/1996,1,,Cincinnati Bengals / 4th / 128th pick / 2017,$555000
29,Tony McRae\McRaTo00,25,CB,7,1,185,5-10,,5/3/1993,1,,,$555000
28,Joe Mixon\MixoJo00,22,RB,5,5,220,6-1,Oklahoma,7/24/1996,1,,Cincinnati Bengals / 2nd / 48th pick / 2017,$712735
