No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
52,Ray-Ray Armstrong\ArmsRa01,27,LB,,,220,6-3,Miami (FL),3/5/1991,5,,,
55,Genard Avery\AverGe00,23,LB,7,1,250,6-0,Memphis,4/26/1995,Rook,,Cleveland Browns / 5th / 150th pick / 2018,$480000
75,Joel Bitonio\BitoJo00,27,OT,7,7,305,6-4,Nevada,10/11/1991,4,,Cleveland Browns / 2nd / 35th pick / 2014,$5500000
20,Briean Boddy-Calhoun\BoddBr01,25,DB,7,1,193,5-9,Minnesota,1/21/1993,2,,,$630000
86,Pharaoh Brown\BrowPh01,24,TE,,,258,6-6,Oregon,5/4/1994,1,,,
11,Antonio Callaway\CallAn00,21,WR,7,5,200,5-11,Florida,1/9/1997,Rook,,Cleveland Browns / 4th / 105th pick / 2018,$480000
38,T.J. Carrie\CarrTr00,28,CB,7,0,204,6-0,Ohio,7/28/1990,4,,Oakland Raiders / 7th / 219th pick / 2014,$2000000
82,Orson Charles\CharOr00,27,TE,7,1,257,6-3,Georgia,1/27/1991,6,,Cincinnati Bengals / 4th / 116th pick / 2012,$790000
24,Nick Chubb\ChubNi00,23,RB,7,1,227,5-11,Georgia,12/27/1995,Rook,,Cleveland Browns / 2nd / 35th pick / 2018,$480000
93,Trevon Coley\ColeTr01,24,DL,7,7,310,6-1,Florida Atlantic,7/13/1994,1,,,$555000
51,Jamie Collins\CollJa00,29,OLB,7,7,250,6-3,Southern Miss,10/20/1989,5,,New England Patriots / 2nd / 52nd pick / 2013,$10650000
4,Britton Colquitt\ColqBr00,33,P,7,0,210,6-3,Tennessee,3/20/1985,8,,,$2550000
63,Austin Corbett\CorbAu00,23,C,5,1,306,6-4,Nevada,9/5/1995,Rook,,Cleveland Browns / 2nd / 33rd pick / 2018,$480000
94,Carl Davis\DaviCa01,26,DT,4,0,320,6-5,Iowa,3/2/1992,3,,Baltimore Ravens / 3rd / 90th pick / 2015,$720750
87,Seth Devalve\DevaSe00,25,TE,4,1,245,6-3,Princeton,1/29/1993,2,,Cleveland Browns / 4th / 138th pick / 2016,$630000
88,Darren Fells\FellDa01,32,TE,7,4,270,6-7,UC Irvine,4/22/1986,5,,,$1150000
