No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
70,Oday Aboushi\AbouOd00,27,OT,,,315,6-5,Virginia,6/5/1991,5,,New York Jets / 5th / 141st pick / 2013,
36,Budda Baker\BakeBu00,22,FS,7,7,195,5-10,Washington,1/10/1996,1,,Arizona Cardinals / 2nd / 36th pick / 2017,$775455
23,Bene Benwikere\BenwBe00,27,CB,7,4,195,6-0,San Jose St.,9/3/1991,4,,Carolina Panthers / 5th / 148th pick / 2014,$790000
41,Antoine Bethea\BethAn20,34,DB,7,7,206,5-11,Howard,7/27/1984,12,,Indianapolis Colts / 6th / 207th pick / 2006,$3000000
33,Tre Boston\BostTr00,26,FS,6,6,205,6-1,North Carolina,6/25/1992,4,,Carolina Panthers / 4th / 128th pick / 2014,$1000000
9,Sam Bradford\BradSa00,31,QB,3,3,224,6-4,Oklahoma,11/8/1987,8,,St. Louis Rams / 1st / 1st pick / 2010,$5000000
46,Aaron Brewer\BrewAa00,28,LS,7,0,232,6-5,San Diego St.,7/5/1990,6,,,$790000
20,Deone Bucannon\BucaDe00,26,SS,7,2,211,6-1,Washington St.,8/30/1992,4,,Arizona Cardinals / 1st / 27th pick / 2014,$8718000
57,Josh Bynes\ByneJo00,29,LB,7,7,235,6-1,Auburn,8/24/1989,7,,,$790000
52,Jeremy Cash\CashJe00,26,LB,,,230,6-0,Duke,12/6/1992,2,,,$630000
75,Blaine Clausell\ClauBl01,26,T,2,0,330,6-6,Mississippi St.,1/31/1992,Rook,,,$555000
64,Mason Cole\ColeMa02,22,C,7,7,292,6-5,Michigan,3/28/1996,Rook,,Arizona Cardinals / 3rd / 97th pick / 2018,$480000
32,Derrick Coleman\ColeDe00,28,RB,7,1,233,6-0,UCLA,10/18/1990,6,,,$790000
79,Korey Cunningham\CunnKo00,23,OT,,,305,6-6,Cincinnati,5/17/1995,Rook,,Arizona Cardinals / 7th / 254th pick / 2018,$480000
4,Phil Dawson\dawsophi01,43,K,7,0,200,5-11,Texas,1/23/1975,19,,,$2500000
29,Chase Edmonds\EdmoCh00,22,RB,7,0,210,5-9,Fordham,4/13/1996,Rook,,Arizona Cardinals / 4th / 134th pick / 2018,$480000
11,Larry Fitzgerald\FitzLa00,35,WR,7,7,218,6-3,Pittsburgh,8/31/1983,14,,Arizona Cardinals / 1st / 3rd pick / 2004,$11000000
30,Rudy Ford\FordRu00,24,S,6,1,204,5-11,Auburn,11/1/1994,1,,Arizona Cardinals / 6th / 208th pick / 2017,$555000
37,D.J. Foster\FostD.01,25,RB,,,195,6-0,Arizona St.,11/22/1993,2,,,$393000
92,Dennis Gardeck\GardDe01,24,LB,7,0,242,6-0,,8/9/1994,Rook,,,$480000
7,Mike Glennon\GlenMi00,29,QB,,,229,6-6,North Carolina St.,12/12/1989,5,,Tampa Bay Buccaneers / 3rd / 73rd pick / 2013,$1000000
44,Markus Golden\GoldMa00,25,OLB,4,4,205,6-0,Missouri,4/27/1993,3,,Arizona Cardinals / 2nd / 58th pick / 2015,$969318
84,Jermaine Gresham\GresJe00,30,TE,5,4,260,6-5,Oklahoma,6/16/1988,8,,Cincinnati Bengals / 1st / 21st pick / 2010,$5250000
95,Rodney Gunter\GuntRo00,26,DT,7,2,305,6-5,Delaware St.,1/19/1992,3,,Arizona Cardinals / 4th / 116th pick / 2015,$705000
51,Gerald Hodges\HodgGe00,27,OLB,7,2,236,6-2,Penn St.,1/17/1991,5,,Minnesota Vikings / 4th / 120th pick / 2013,$790000
85,Gabe Holmes\HolmGa00,27,TE,7,4,255,6-4,Purdue,3/29/1991,1,,,$630000
74,D.J. Humphries\HumpD.00,25,OT,7,7,307,6-5,Florida,12/28/1993,2,,Arizona Cardinals / 1st / 24th pick / 2015,$1450288
