No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
74,Dorance Armstrong\ArmsDo00,21,DE,7,1,255,6-4,Kansas,6/10/1997,Rook,,Dallas Cowboys / 4th / 116th pick / 2018,$480000
10,Tavon Austin\AustTa00,28,WR,6,0,179,5-8,West Virginia,3/15/1990,5,,St. Louis Rams / 1st / 8th pick / 2013,$1000000
24,Chidobe Awuzie\AwuzCh00,23,CB,7,5,202,6-0,Colorado,5/24/1995,1,,Dallas Cowboys / 2nd / 60th pick / 2017,$659709
11,Cole Beasley\BeasCo00,29,WR,7,2,180,5-8,SMU,4/26/1989,6,,,$3250000
30,Anthony Brown\BrowAn02,25,CB,7,6,196,5-11,Purdue,12/15/1993,2,,Dallas Cowboys / 6th / 189th pick / 2016,$630000
85,Noah Brown\BrowNo00,22,WR,,,225,6-2,Ohio St.,1/6/1996,1,,Dallas Cowboys / 7th / 239th pick / 2017,$378000
97,Taco Charlton\CharTa00,24,DE,7,7,270,6-6,Michigan,11/7/1994,1,,Dallas Cowboys / 1st / 28th pick / 2017,$920836
71,La'el Collins\CollLa01,25,OT,7,7,320,6-4,LSU,7/26/1993,3,,,$4350000
96,Maliek Collins\CollMa00,23,DT,4,0,308,6-2,Nebraska,4/8/1995,2,,Dallas Cowboys / 3rd / 67th pick / 2016,$755000
19,Amari Cooper\CoopAm00,24,WR,,,210,6-1,Alabama,6/18/1994,3,,Oakland Raiders / 1st / 4th pick / 2015,$700000
59,Chris Covington\CoviCh01,22,LB,3,0,245,6-2,Indiana,1/3/1996,Rook,,Dallas Cowboys / 6th / 193rd pick / 2018,$480000
98,Tyrone Crawford\CrawTy00,29,DE,7,7,290,6-4,Boise St.,11/22/1989,6,,Dallas Cowboys / 3rd / 81st pick / 2012,$6000000
79,Parker Ehinger\EhinPa00,26,OG,,,310,6-6,Cincinnati,12/30/1992,2,,Kansas City Chiefs / 4th / 105th pick / 2016,$393000
21,Ezekiel Elliott\ElliEz00,23,RB,7,7,228,6-0,Ohio St.,7/22/1995,2,,Dallas Cowboys / 1st / 4th pick / 2016,$2718758
75,Cameron Fleming\FlemCa00,26,OT,6,0,320,6-6,Stanford,9/3/1992,4,,New England Patriots / 4th / 140th pick / 2014,$1000000
35,Kavon Frazier\FrazKa00,24,FS,7,2,220,6-0,Central Michigan,8/11/1994,2,,Dallas Cowboys / 6th / 212th pick / 2016,$630000
72,Travis Frederick\FredTr00,27,C,,,320,6-4,Wisconsin,3/18/1991,5,,Dallas Cowboys / 1st / 31st pick / 2013,$1300000
13,Michael Gallup\GallMi00,22,WR,7,2,198,6-1,Colorado St.,4/4/1996,Rook,,Dallas Cowboys / 3rd / 81st pick / 2018,$480000
80,Rico Gathers\GathRi00,24,TE,6,1,285,6-6,Baylor,1/7/1994,Rook,,Dallas Cowboys / 6th / 217th pick / 2016,$480000
29,C.J. Goodwin\GoodC.00,28,WR,2,0,184,6-1,California (PA),2/4/1990,4,,,$444708
94,Randy Gregory\GregRa00,26,DE,6,0,255,6-5,Nebraska,11/23/1992,3,,Dallas Cowboys / 2nd / 60th pick / 2015,$781813
38,Jeff Heath\HeatJe00,27,S,7,7,212,6-1,Saginaw Valley St.,5/14/1991,5,,,$1500000
17,Allen Hurns\HurnAl01,27,WR,7,5,201,6-3,Miami (FL),11/12/1991,4,,,$2500000
95,David Irving\IrviDa00,25,DE,2,0,290,6-7,Iowa St.,8/18/1993,3,,,$2238352
89,Blake Jarwin\JarwBl00,24,TE,7,2,260,6-5,Oklahoma St.,7/16/1994,1,,,$555000
31,Byron Jones\JoneBy00,26,CB,7,7,205,6-0,Connecticut,9/26/1992,3,,Dallas Cowboys / 1st / 27th pick / 2015,$1607991
