No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
48,Shaquil Barrett\BarrSh00,26,OLB,7,0,250,6-2,Colorado St.,11/17/1992,4,,,$2914000
40,Keishawn Bierria\BierKe00,23,ILB,7,0,230,6-0,Washington,7/26/1995,Rook,,Denver Broncos / 6th / 217th pick / 2018,$480000
72,Garett Bolles\BollGa00,26,OT,7,7,297,6-5,Utah,5/27/1992,1,,Denver Broncos / 1st / 20th pick / 2017,$966450
23,Devontae Booker\BookDe00,26,RB,7,0,219,5-11,Utah,5/27/1992,2,,Denver Broncos / 4th / 136th pick / 2016,$630000
22,Tramaine Brock\BrocTr00,30,DB,5,1,188,5-10,Mississippi Gulf Coast J.C.; Bellhaven,8/20/1988,8,,,$2000000
80,Jake Butt\ButtJa00,23,TE,3,3,250,6-6,Michigan,7/11/1995,Rook,,Denver Broncos / 5th / 145th pick / 2017,$480000
20,Jamal Carter\CartJa02,24,S,,,215,6-1,,4/12/1994,1,,,$378000
55,Bradley Chubb\ChubBr00,22,DE,7,7,269,6-4,North Carolina St.,6/24/1996,Rook,,Denver Broncos / 1st / 5th pick / 2018,$480000
21,Su'a Cravens\CravSu00,23,OLB,,,224,6-1,USC,7/7/1995,2,,Washington Redskins / 2nd / 53rd pick / 2016,$651408
51,Todd Davis\DaviTo01,26,LB,7,7,230,6-1,Sacramento St.,5/17/1992,4,,,$3000000
74,Nico Falah\FalaNi00,23,C,,,301,6-4,,1/6/1995,Rook,,,
28,Royce Freeman\FreeRo00,22,RB,7,7,229,6-0,Oregon,2/24/1996,Rook,,Denver Broncos / 3rd / 71st pick / 2018,$480000
84,Troy Fumagalli\FumaTr00,23,TE,,,247,6-5,Wisconsin,2/17/1995,Rook,,Denver Broncos / 5th / 156th pick / 2018,$363000
76,Max Garcia\GarcMa00,27,C,7,2,309,6-4,Florida,11/9/1991,3,,Denver Broncos / 4th / 133rd pick / 2015,$1907000
52,Jerrol Garcia-Williams\GarcJe01,25,LB,,,235,6-2,,12/24/1993,1,,,$378000
99,Adam Gotsis\GotsAd00,26,DT,7,4,287,6-4,Georgia Tech,9/23/1992,2,,Denver Broncos / 2nd / 63rd pick / 2016,$807991
17,DaeSean Hamilton\HamiDa01,23,WR,7,0,203,6-1,Penn St.,3/10/1995,Rook,,Denver Broncos / 4th / 113th pick / 2018,$480000
25,Chris Harris\HarrCh01,29,CB,7,7,199,5-10,Kansas,6/18/1989,7,,,$7400000
96,Shelby Harris\HarrSh00,27,DE,7,0,290,6-2,Illinois St.,8/11/1991,4,,Oakland Raiders / 7th / 235th pick / 2014,$705000
82,Jeff Heuerman\HeueJe00,26,TE,7,6,255,6-5,Ohio St.,11/24/1992,2,,Denver Broncos / 3rd / 92nd pick / 2015,$705000
9,Kevin Hogan\HogaKe00,26,QB,,,218,6-3,Stanford,10/20/1992,2,,Kansas City Chiefs / 5th / 162nd pick / 2016,$630000
32,Andy Janovich\JanoAn00,25,FB,7,3,238,6-1,Nebraska,5/23/1993,2,,Denver Broncos / 6th / 176th pick / 2016,$630000
47,Josey Jewell\JeweJo00,24,ILB,7,1,234,6-1,Iowa,12/25/1994,Rook,,Denver Broncos / 4th / 106th pick / 2018,$480000
45,Alexander Johnson\JohnAl01,27,LB,,,245,6-2,,12/24/1991,Rook,,,$480000
