No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
21,Ameer Abdullah\AbduAm00,25,RB,2,0,203,5-9,Nebraska,6/13/1993,3,,Detroit Lions / 2nd / 54th pick / 2015,$876745
39,Jamal Agnew\AgneJa00,23,CB,5,0,190,5-10,San Diego,4/3/1995,1,,Detroit Lions / 5th / 165th pick / 2017,$555000
94,Ezekiel Ansah\AnsaEz00,29,DE,1,1,275,6-5,BYU,5/29/1989,5,,Detroit Lions / 1st / 5th pick / 2013,$17143000
53,Trevor Bates\BateTr00,25,LB,1,0,247,6-2,Maine,8/28/1993,2,,Indianapolis Colts / 7th / 239th pick / 2016,$129200
46,Nick Bawden\BawdNi00,22,RB,,,245,6-2,San Diego St.,6/22/1996,Rook,,Detroit Lions / 7th / 237th pick / 2018,$363000
43,Nick Bellore\BellNi01,29,LB,6,2,250,6-1,Central Michigan,5/12/1989,7,,,$915000
29,LeGarrette Blount\BlouLe00,32,RB,6,3,247,6-0,Oregon,12/5/1986,8,,,$1000000
8,Matt Cassel\CassMa00,36,QB,1,0,225,6-4,USC,5/17/1982,13,,New England Patriots / 7th / 230th pick / 2005,$1015000
65,Tyrell Crosby\CrosTy00,23,OT,,,309,6-4,Oregon,9/5/1995,Rook,,Detroit Lions / 5th / 153rd pick / 2018,$480000
66,Joe Dahl\DahlJo00,25,OG,2,0,305,6-4,Washington St.,4/9/1993,2,,Detroit Lions / 5th / 151st pick / 2016,$630000
40,Jarrad Davis\DaviJa01,23,ILB,6,6,238,6-1,Florida,11/16/1995,1,,Detroit Lions / 1st / 21st pick / 2017,$963599
68,Taylor Decker\DeckTa00,25,OT,6,6,311,6-7,Ohio St.,8/23/1993,2,,Detroit Lions / 1st / 16th pick / 2016,$1446998
28,Quandre Diggs\DiggQu00,25,CB,6,6,200,5-9,Texas,1/22/1993,3,,Detroit Lions / 6th / 200th pick / 2015,$1000000
70,Andrew Donnal\DonnAn00,26,OT,,,305,6-6,Iowa,3/3/1992,3,,St. Louis Rams / 4th / 119th pick / 2015,$705000
60,Graham Glasgow\GlasGr00,26,OG,6,6,310,6-6,Michigan,7/19/1992,2,,Detroit Lions / 3rd / 95th pick / 2016,$648500
19,Kenny Golladay\GollKe00,25,WR,6,5,213,6-4,Northern Illinois,11/3/1993,1,,Detroit Lions / 3rd / 96th pick / 2017,$586000
93,Da'Shawn Hand\HandDa00,23,DE,6,5,297,6-3,Alabama,11/14/1995,Rook,,Detroit Lions / 4th / 114th pick / 2018,$480000
57,Eli Harold\HaroEl00,24,OLB,5,0,243,6-3,Virginia,1/20/1994,3,,San Francisco 49ers / 3rd / 79th pick / 2015,$1892000
98,Damon Harrison\HarrDa03,30,DT,,,355,6-3,William Penn,11/29/1988,6,,,$7750000
61,Kerry Hyder\HydeKe01,27,DT,3,0,270,6-2,Texas TechTexas Tech,5/2/1991,4,,,$555000
97,Ricky Jean-Francois\JeanRi99,32,DT,6,4,309,6-2,LSU,11/23/1986,9,,San Francisco 49ers / 7th / 244th pick / 2009,$915000
33,Kerryon Johnson\JohnKe06,21,RB,6,3,206,5-11,Auburn,6/30/1997,Rook,,Detroit Lions / 2nd / 43rd pick / 2018,$480000
17,Andy Jones\JoneAn01,24,WR,,,215,6-1,,6/28/1994,1,,,$378000
52,Christian Jones\JoneCh05,27,ILB,6,6,244,6-3,Florida St.,2/18/1991,4,,,$1050000
11,Marvin Jones\JoneMa02,28,WR,6,6,198,6-2,California,3/12/1990,6,,Cincinnati Bengals / 5th / 166th pick / 2012,$7000000
13,T.J. Jones\JoneT.00,26,WR,6,0,190,6-0,Notre Dame,7/19/1992,4,,Detroit Lions / 6th / 189th pick / 2014,$1907000
42,Devon Kennard\KennDe00,27,OLB,6,6,256,6-4,USC,6/24/1991,4,,New York Giants / 5th / 174th pick / 2014,$2250000
35,Miles Killebrew\KillMi00,25,SS,6,0,222,6-2,Southern Utah,5/10/1993,2,,Detroit Lions / 4th / 111th pick / 2016,$630000
76,T.J. Lang\LangT.20,31,T,4,4,315,6-4,East. Michigan,9/20/1987,9,,Green Bay Packers / 4th / 109th pick / 2009,$8000000
24,Nevin Lawson\LawsNe00,27,CB,6,5,192,5-9,Utah St.,4/23/1991,4,,Detroit Lions / 4th / 133rd pick / 2014,$2300000
34,Cre'von LeBlanc\LeBlCr01,24,DB,2,0,190,5-10,Florida Atlantic,7/25/1994,2,,,$481765
55,Eric Lee\LeexEr00,24,LB,3,0,255,6-3,South Florida,8/6/1994,1,,,$457059
54,Steve Longa\LongSt00,24,LB,,,240,6-0,Rutgers,9/29/1994,2,,,$378000
6,Sam Martin\MartSa01,28,P,6,0,211,6-1,Appalachian St.,2/27/1990,5,,Detroit Lions / 5th / 165th pick / 2013,$2325000
48,Don Muhlbach\MuhlDo20,37,C,6,0,258,6-4,Texas A&M,8/17/1981,14,,,$1015000
95,Romeo Okwara\OkwaRo01,23,DE,5,5,274,6-4,Notre Dame,6/17/1995,2,,,$630000
37,Lenzy Pipkins\PipkLe00,25,CB,,,196,6-0,Oklahoma St.,11/7/1993,1,,,$522353
1,Brandon Powell\PoweBr00,22,WR,,,181,5-8,,9/12/1996,Rook,,,$480000
5,Matt Prater\PratMa20,34,K,6,0,201,5-10,Central Florida,8/10/1984,11,,,$2000000
27,Glover Quin\QuinGl99,32,DB,6,6,207,6-0,New Mexico,1/15/1986,9,,Houston Texans / 4th / 112th pick / 2009,$3850000
77,Frank Ragnow\RagnFr00,22,C,6,6,308,6-5,Arkansas,5/17/1996,Rook,,Detroit Lions / 1st / 20th pick / 2018,$480000
44,Jalen Reeves-Maybin\ReevJa00,23,OLB,6,0,230,6-0,Tennessee,1/31/1995,1,,Detroit Lions / 4th / 124th pick / 2017,$555000
25,Theo Riddick\RiddTh00,27,RB,5,0,201,5-9,Notre Dame,5/4/1991,5,,Detroit Lions / 6th / 199th pick / 2013,$2700000
80,Michael Roberts\RobeMi01,24,TE,3,1,265,6-5,Toledo,5/7/1994,1,,Detroit Lions / 4th / 127th pick / 2017,$555000
91,A'Shawn Robinson\RobiAS00,23,DT,5,2,322,6-4,Alabama,3/21/1995,2,,Detroit Lions / 2nd / 46th pick / 2016,$925785
26,DeShawn Shead\SheaDe00,29,DB,3,0,216,6-2,Portland St.,6/28/1989,6,,,$697059
23,Darius Slay\SlayDa00,27,CB,6,6,190,6-0,Mississippi St.,1/1/1991,5,,Detroit Lions / 2nd / 36th pick / 2013,$2726269
9,Matthew Stafford\StafMa00,30,QB,6,6,220,6-3,Georgia,2/7/1988,9,,Detroit Lions / 1st / 1st pick / 2009,$9500000
31,Teez Tabor\TaboTe00,23,CB,6,3,201,6-0,Florida,12/31/1995,1,,Detroit Lions / 2nd / 53rd pick / 2017,$684226
15,Golden Tate\TateGo00,30,WR,6,3,197,5-10,Notre Dame,8/2/1988,8,,Seattle Seahawks / 2nd / 60th pick / 2010,$7000000
87,Levine Toilolo\ToilLe00,27,TE,6,2,268,6-8,Stanford,7/30/1991,5,,Atlanta Falcons / 4th / 133rd pick / 2013,$1000000
71,Ricky Wagner\WagnRi00,29,OT,6,6,315,6-6,Wisconsin,10/21/1989,5,,Baltimore Ravens / 5th / 168th pick / 2013,$3000000
47,Tracy Walker\WalkTr01,23,S,6,0,206,6-1,Louisiana,2/1/1995,Rook,,Detroit Lions / 3rd / 82nd pick / 2018,$480000
45,Charles Washington\WashCh01,25,DB,6,0,192,5-10,Fresno St.,3/10/1993,1,,,$555000
79,Kenny Wiggins\WiggKe00,30,T,6,2,330,6-6,Fresno St.,8/8/1988,7,,,$1250000
82,Luke Willson\WillLu00,28,TE,6,5,251,6-5,Rice,1/15/1990,5,,Seattle Seahawks / 5th / 158th pick / 2013,$1500000
