No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
17,Davante Adams\AdamDa01,26,WR,6,6,215,6-1,Fresno St.,12/24/1992,4,,Green Bay Packers / 2nd / 53rd pick / 2014,$1000000
90,Montravius Adams\AdamMo00,23,DT,6,0,304,6-4,Auburn,7/24/1995,1,,Green Bay Packers / 3rd / 93rd pick / 2017,$581000
23,Jaire Alexander\AlexJa00,21,CB,4,2,196,5-10,Louisville,2/9/1997,Rook,,Green Bay Packers / 1st / 18th pick / 2018,$480000
81,Geronimo Allison\AlliGe01,24,WR,4,4,202,6-3,Illinois,1/18/1994,2,,,$630000
69,David Bakhtiari\BakhDa00,27,OT,6,6,310,6-4,Colorado,9/30/1991,5,,Green Bay Packers / 4th / 109th pick / 2013,$1000000
74,Byron Bell\BellBy00,29,T,6,3,320,6-5,New Mexico,1/17/1989,7,,,$850000
8,Tim Boyle\BoylTi00,24,QB,,,232,6-4,,10/3/1994,Rook,,,$480000
43,Hunter Bradley\BradHu00,24,LS,6,0,241,6-3,Mississippi St.,5/21/1994,Rook,,Green Bay Packers / 7th / 239th pick / 2018,$480000
26,Bashaud Breeland\BreeBa00,26,CB,,,195,5-11,Clemson,1/30/1992,4,,Washington Redskins / 4th / 102nd pick / 2014,$650588
29,Kentrell Brice\BricKe00,24,S,6,6,200,5-11,Louisiana Tech,8/11/1994,2,,,$630000
28,Tony Brown\BrowTo01,23,CB,3,0,199,6-0,,7/13/1995,Rook,,,$395294
75,Bryan Bulaga\BulaBr20,29,T,6,6,314,6-5,Iowa,3/21/1989,8,,Green Bay Packers / 1st / 23rd pick / 2010,$5850000
42,Oren Burks\BurkOr00,23,ILB,4,2,233,6-3,Vanderbilt,3/21/1995,Rook,,Green Bay Packers / 3rd / 88th pick / 2018,$480000
97,Kenny Clark\ClarKe01,23,DT,6,6,314,6-3,UCLA,10/4/1995,2,,Green Bay Packers / 1st / 27th pick / 2016,$1301059
21,Ha Ha Clinton-Dix\ClinHa00,26,FS,6,6,208,6-1,Alabama,12/21/1992,4,,Green Bay Packers / 1st / 21st pick / 2014,$5957000
18,Randall Cobb\CobbRa00,28,WR,3,3,192,5-10,Kentucky,8/22/1990,7,,Green Bay Packers / 2nd / 64th pick / 2011,$8600000
54,James Crawford\CrawJa01,24,LB,6,0,239,6-2,,12/2/1994,Rook,,,$480000
2,Mason Crosby\CrosMa20,34,K,6,0,207,6-1,Colorado,9/3/1984,11,,Green Bay Packers / 6th / 193rd pick / 2007,$3150000
76,Mike Daniels\DaniMi00,29,DT,6,5,310,6-0,Iowa,5/5/1989,6,,Green Bay Packers / 4th / 132nd pick / 2012,$6600000
11,Trevor Davis\DaviTr03,25,WR,,,188,6-1,California,7/4/1993,2,,Green Bay Packers / 5th / 163rd pick / 2016,$393000
51,Kyler Fackrell\FackKy00,27,OLB,6,0,245,6-5,Utah St.,11/25/1991,2,,Green Bay Packers / 3rd / 88th pick / 2016,$648000
93,Reggie Gilbert\GilbRe01,25,LB,6,0,261,6-3,Arizona,4/1/1993,1,,,$480000
80,Jimmy Graham\GrahJi00,32,TE,6,5,265,6-7,Miami (FL),11/24/1986,8,,New Orleans Saints / 3rd / 95th pick / 2010,$1450000
36,Raven Greene\GreeRa02,23,S,4,0,197,5-11,,2/2/1995,Rook,,,$480000
31,Davon House\HousDa00,29,DB,3,0,195,6-0,New Mexico St.,7/10/1989,7,,Green Bay Packers / 4th / 131st pick / 2011,$915000
37,Josh Jackson\JackJo01,22,CB,6,3,196,6-0,Iowa,4/3/1996,Rook,,Green Bay Packers / 2nd / 45th pick / 2018,$480000
33,Aaron Jones\JoneAa00,24,RB,4,1,208,5-9,Texas-El Paso,12/2/1994,1,,Green Bay Packers / 5th / 182nd pick / 2017,$489706
27,Josh Jones\JoneJo06,24,S,3,0,220,6-2,North Carolina St.,9/20/1994,1,,Green Bay Packers / 2nd / 61st pick / 2017,$657428
84,Lance Kendricks\KendLa00,30,TE,6,0,250,6-3,Wisconsin,1/30/1988,7,,St. Louis Rams / 2nd / 47th pick / 2011,$1250000
20,Kevin King\KingKe01,23,CB,4,4,200,6-3,Washington,5/5/1995,1,,Green Bay Packers / 2nd / 33rd pick / 2017,$786858
9,DeShone Kizer\KizeDe00,22,QB,1,0,235,6-4,Notre Dame,1/3/1996,1,,Cleveland Browns / 2nd / 52nd pick / 2017,$689928
16,Jake Kumerow\KumeJa00,26,WR,,,209,6-4,,2/17/1992,Rook,,,$363000
95,Tyler Lancaster\LancTy00,24,DL,2,0,313,6-3,,11/4/1994,Rook,,,$129200
85,Marcedes Lewis\LewiMa00,34,TE,6,1,267,6-6,UCLA,5/19/1984,12,,Jacksonville Jaguars / 1st / 28th pick / 2006,$1050000
70,Alex Light\LighAl00,22,T,,,309,6-5,,5/2/1996,Rook,,,$480000
63,Corey Linsley\LinsCo00,27,C,6,6,301,6-3,Ohio St.,7/27/1991,4,,Green Bay Packers / 5th / 161st pick / 2014,$1000000
94,Dean Lowry\LowrDe00,24,DE,6,2,296,6-6,Northwestern,6/9/1994,2,,Green Bay Packers / 4th / 137th pick / 2016,$630000
61,Cole Madison\MadiCo01,24,G,,,308,6-5,Washington St.,12/20/1994,Rook,,Green Bay Packers / 5th / 138th pick / 2018,$480000
50,Blake Martinez\MartBl01,24,ILB,6,6,237,6-2,Stanford,1/9/1994,2,,Green Bay Packers / 4th / 131st pick / 2016,$630000
52,Clay Matthews\MattCl99,32,LB,6,6,255,6-3,USC,5/14/1986,9,,Green Bay Packers / 1st / 26th pick / 2009,$10400000
64,Justin McCray\McCrJu00,26,G,4,3,317,6-3,Central Florida,5/31/1992,1,,,$555000
88,Ty Montgomery\MontTy01,25,WR/RB,6,0,216,6-0,Stanford,1/22/1993,3,,Green Bay Packers / 3rd / 94th pick / 2015,$716500
82,J'Mon Moore\MoorJM00,23,WR,3,0,205,6-3,Missouri,5/23/1995,Rook,,Green Bay Packers / 4th / 133rd pick / 2018,$480000
44,Antonio Morrison\MorrAn01,24,ILB,6,2,241,6-1,Florida,12/6/1994,2,,Indianapolis Colts / 4th / 125th pick / 2016,$630000
68,Kyle Murphy\MurpKy00,25,OT,,,305,6-6,Stanford,12/11/1993,2,,Green Bay Packers / 6th / 200th pick / 2016,$393000
62,Lucas Patrick\PatrLu00,25,G,5,0,313,6-3,Duke,7/30/1993,1,,,$555000
53,Nick Perry\PerrNi00,28,DE,6,6,265,6-3,USC,4/12/1990,6,,Green Bay Packers / 1st / 28th pick / 2012,$1900000
12,Aaron Rodgers\RodgAa00,35,QB,6,6,225,6-2,California,12/2/1983,13,,Green Bay Packers / 1st / 24th pick / 2005,$1100000
47,Jake Ryan\RyanJa00,26,OLB,,,240,6-2,Michigan,2/27/1992,3,,Green Bay Packers / 4th / 129th pick / 2015,$1907000
6,JK Scott\ScotJK00,22,P,6,0,208,6-6,Alabama,10/30/1996,Rook,,Green Bay Packers / 5th / 172nd pick / 2018,$480000
78,Jason Spriggs\SpriJa00,24,OT,5,0,301,6-6,Indiana,5/17/1994,2,,Green Bay Packers / 2nd / 48th pick / 2016,$904936
19,Equanimeous St. Brown\St.BEq00,22,WR,3,2,214,6-5,Notre Dame,9/30/1996,Rook,,Green Bay Packers / 6th / 207th pick / 2018,$480000
65,Lane Taylor\TaylLa01,29,G,6,6,324,6-3,Oklahoma St.,11/22/1989,5,,,$1100000
49,Robert Tonyan\TonyRo00,24,TE,6,0,237,6-5,,4/30/1994,Rook,,,$480000
56,Korey Toomer\ToomKo00,30,ILB,4,0,235,6-2,Idaho,12/9/1988,5,,Seattle Seahawks / 5th / 154th pick / 2012,$790000
83,Marquez Valdes-Scantling\ValdMa00,24,WR,6,3,206,6-4,North Carolina St.South Florida,10/10/1994,Rook,,Green Bay Packers / 5th / 174th pick / 2018,$480000
35,Jermaine Whitehead\WhitJe02,25,DB,5,1,195,5-11,Auburn,3/12/1993,2,,,$555000
96,Muhammad Wilkerson\WilkMu00,29,DT,3,3,315,6-4,Temple,10/22/1989,7,,New York Jets / 1st / 30th pick / 2011,$1600000
30,Jamaal Williams\WillJa06,23,RB,6,5,213,6-0,BYU,4/3/1995,1,,Green Bay Packers / 4th / 134th pick / 2017,$555000
38,Tramon Williams\WillTr99,35,DB,6,6,191,5-11,Louisiana Tech,3/16/1983,11,,,$1500000
,Team Total,26.1,,6,,245.2,6-2.3,,,3.5,,,
