No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
88,Jordan Akins\AkinJo00,26,TE,8,2,243,6-4,Central Florida,4/19/1992,Rook,,Houston Texans / 3rd / 98th pick / 2018,$480000
20,Johnson Bademosi\BadeJo00,28,DB,8,0,219,6-0,Stanford,7/23/1990,6,,,$1250000
97,Angelo Blackson\BlacAn00,26,DT,8,2,319,6-4,Auburn,11/14/1992,3,,Tennessee Titans / 4th / 100th pick / 2015,$850000
28,Alfred Blue\BlueAl00,27,RB,8,1,229,6-2,LSU,4/27/1991,4,,Houston Texans / 6th / 181st pick / 2014,$790000
90,Jadeveon Clowney\ClowJa00,25,DE,7,7,255,6-5,South Carolina,2/14/1993,4,,Houston Texans / 1st / 1st pick / 2014,$12306000
18,Sammie Coates\CoatSa00,25,WR,6,0,213,6-1,Auburn,3/31/1993,3,,Pittsburgh Steelers / 3rd / 87th pick / 2015,$705000
51,Dylan Cole\ColeDy00,24,LB,3,0,237,6-0,Missouri State,5/19/1994,1,,,$555000
22,Aaron Colvin\ColvAa00,27,CB,4,2,191,6-0,Oklahoma,10/2/1991,4,,Jacksonville Jaguars / 4th / 114th pick / 2014,$2500000
16,Keke Coutee\CoutKe00,21,WR,4,1,180,5-11,Texas Tech,1/14/1997,Rook,,Houston Texans / 4th / 103rd pick / 2018,$480000
95,Christian Covington\CoviCh00,25,DT,4,2,310,6-2,Rice,10/16/1993,3,,Houston Texans / 6th / 216th pick / 2015,$705000
41,Zach Cunningham\CunnZa00,24,OLB,8,8,238,6-3,Vanderbilt,12/12/1994,1,,Houston Texans / 2nd / 57th pick / 2017,$668261
8,Trevor Daniel\DaniTr00,24,P,8,0,231,6-1,,12/8/1994,Rook,,,$480000
70,Julie'n Davenport\DaveJu00,23,OT,8,7,325,6-7,Bucknell,1/9/1995,1,,Houston Texans / 4th / 130th pick / 2017,$555000
92,Brandon Dunn\DunnBr00,26,DT,8,4,310,6-2,Louisville,9/5/1992,4,,,$790000
53,Duke Ejiofor\EjioDu00,23,DE,7,0,255,6-4,Wake Forest,4/24/1995,Rook,,Houston Texans / 6th / 177th pick / 2018,$480000
12,Bruce Ellington\ElliBr00,27,WR,3,1,195,5-9,South Carolina,8/22/1991,4,,San Francisco 49ers / 4th / 106th pick / 2014,$730000
21,Tyler Ervin\ErviTy00,25,RB,8,0,182,5-10,San Jose St.,10/7/1993,2,,Houston Texans / 4th / 119th pick / 2016,$630000
7,Ka'imi Fairbairn\FairKa01,24,K,8,0,183,6-0,UCLA,1/29/1994,1,,,$555000
27,D'Onta Foreman\ForeDO00,22,RB,,,236,6-1,Texas,4/24/1996,1,,Houston Texans / 3rd / 89th pick / 2017,$588500
15,Will Fuller\FullWi01,24,WR,7,7,184,6-0,Notre Dame,4/16/1994,2,,Houston Texans / 1st / 21st pick / 2016,$1378028
73,Zach Fulton\FultZa00,27,OG,6,6,321,6-5,Tennessee,9/23/1991,4,,Kansas City Chiefs / 6th / 193rd pick / 2014,$1500000
84,Ryan Griffin\GrifRy00,28,TE,6,6,264,6-6,Connecticut,1/11/1990,5,,Houston Texans / 6th / 201st pick / 2013,$2250000
29,Andre Hal\HalxAn00,26,CB,1,1,184,5-10,Vanderbilt,5/30/1992,4,,Houston Texans / 7th / 216th pick / 2014,$3250000
93,Joel Heath\HeatJo00,25,DE,5,0,302,6-6,Michigan St.,6/18/1993,2,,,$630000
76,Seantrel Henderson\HendSe00,26,OT,1,1,351,6-7,Miami (FL),1/21/1992,4,,Buffalo Bills / 7th / 237th pick / 2014,$1700000
10,DeAndre Hopkins\HopkDe00,26,WR,8,8,212,6-1,Clemson,6/6/1992,5,,Houston Texans / 1st / 27th pick / 2013,$12500000
38,Gregory Howell\HoweGr00,22,RB,7,0,215,6-1,,3/27/1996,Rook,,,$480000
25,Kareem Jackson\JackKa99,30,DB,8,8,183,5-10,Alabama,4/10/1988,8,,Houston Texans / 1st / 20th pick / 2010,$6500000
27,Natrell Jamerson\JameNa00,23,FS,8,0,200,6-0,Wisconsin,12/15/1995,Rook,,New Orleans Saints / 5th / 164th pick / 2018,$480000
30,Kevin Johnson\JohnKe04,26,CB,1,1,182,6-0,Wake Forest,8/5/1992,3,,Houston Texans / 1st / 16th pick / 2015,$1805375
24,Johnathan Joseph\JoseJo20,34,DB,8,8,186,5-11,South Carolina,4/16/1984,12,,Cincinnati Bengals / 1st / 24th pick / 2006,$2400000
58,Peter Kalambayi\KalaPe00,23,LB,7,0,254,6-3,Stanford,6/26/1995,Rook,,Houston Texans / 6th / 214th pick / 2018,$480000
64,Senio Kelemete\KeleSe00,28,T,7,7,301,6-3,Washington,5/10/1990,6,,Arizona Cardinals / 5th / 151st pick / 2012,$1250000
