No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
54,Eli Ankou\AnkoEl00,24,DT,,,325,6-3,UCLA,6/8/1994,1,,,$555000
87,Blake Bell\BellBl00,27,TE,1,0,252,6-6,Oklahoma,8/7/1991,3,,San Francisco 49ers / 4th / 117th pick / 2015,$456176
40,Tommy Bohanon\BohaTo00,28,FB,7,3,246,6-1,Wake Forest,9/10/1990,5,,New York Jets / 7th / 215th pick / 2013,$790000
5,Blake Bortles\BortBl00,26,QB,7,7,236,6-5,Central Florida,4/28/1992,4,,Jacksonville Jaguars / 1st / 3rd pick / 2014,$5000000
21,A.J. Bouye\BouyA.00,27,CB,7,7,191,6-0,Central Florida,8/16/1991,5,,,$13000000
53,Blair Brown\BrowBl00,24,ILB,7,0,238,5-11,Ohio,5/27/1994,1,,Jacksonville Jaguars / 5th / 148th pick / 2017,$555000
90,Taven Bryan\BryaTa00,22,DT,7,0,291,6-4,Florida,3/11/1996,Rook,,Jacksonville Jaguars / 1st / 29th pick / 2018,$480000
93,Calais Campbell\CampCa99,32,DE,7,7,300,6-8,Miami (FL),9/1/1986,10,,Arizona Cardinals / 2nd / 50th pick / 2008,$15000000
60,A.J. Cann\CannA.00,27,OG,6,6,325,6-3,South Carolina,10/3/1991,3,,Jacksonville Jaguars / 3rd / 67th pick / 2015,$1907000
17,DJ Chark\CharDJ00,22,WR,7,0,198,6-4,LSU,9/23/1996,Rook,,Jacksonville Jaguars / 2nd / 61st pick / 2018,$480000
42,Barry Church\ChurBa99,30,DB,7,7,218,6-2,Toledo,2/11/1988,8,,,$4500000
84,Keelan Cole\ColeKe00,25,WR,7,7,194,6-1,,4/20/1993,1,,,$555000
9,Logan Cooke\CookLo00,23,P,7,0,200,6-5,Mississippi St.,7/28/1995,Rook,,Jacksonville Jaguars / 7th / 247th pick / 2018,$480000
99,Marcell Dareus\DareMa00,28,DT,7,7,331,6-3,Alabama,3/13/1990,7,,Buffalo Bills / 1st / 3rd pick / 2011,$9925000
22,Cody Davis\DaviCo02,29,S,7,0,203,6-2,Texas Tech,6/6/1989,5,,,$1500000
37,Dee Delaney\DelaDe00,23,CB,,,200,5-11,,2/20/1995,Rook,,,$129200
57,Nick DeLuca\DeLuNi00,23,LB,,,251,6-3,,1/27/1995,Rook,,,$129200
75,Ereck Flowers\FlowEr00,24,OT,,,334,6-6,Miami (FL),4/25/1994,3,,New York Giants / 1st / 9th pick / 2015,
27,Leonard Fournette\FourLe00,23,RB,2,2,228,6-0,LSU,1/18/1995,1,,Jacksonville Jaguars / 1st / 4th pick / 2017,$1699129
56,Dante Fowler\FowlDa00,24,OLB,6,0,255,6-3,Florida,8/3/1994,2,,Jacksonville Jaguars / 1st / 3rd pick / 2015,$3638216
39,Tashaun Gipson\GipsTa00,28,DB,7,7,212,5-11,Wyoming,8/7/1990,6,,,$5750000
49,DeAndre Goolsby\GoolDe00,22,TE,,,240,6-4,,6/12/1996,Rook,,,$363000
30,Corey Grant\GranCo00,27,RB,5,1,203,5-11,Auburn,12/19/1991,3,,,$2914000
