No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
35,Walt Aikens\AikeWa00,27,CB,8,0,208,6-1,Liberty,6/19/1991,4,,Miami Dolphins / 4th / 125th pick / 2014,$800000
59,Chase Allen\AlleCh02,25,LB,5,1,250,6-3,Southern Illinois,8/29/1993,1,,,$555000
47,Kiko Alonso\AlonKi00,28,ILB,8,8,239,6-3,Oregon,8/14/1990,5,,Buffalo Bills / 2nd / 46th pick / 2013,$7875000
80,Danny Amendola\AmenDa00,33,WR,8,8,190,5-11,Texas Tech,11/2/1985,9,,,$2950000
44,Stephone Anthony\AnthSt00,26,ILB,8,0,245,6-3,Clemson,7/28/1992,3,,New Orleans Saints / 1st / 31st pick / 2015,$1087150
31,Cornell Armstrong\ArmsCo00,23,CB,7,0,185,6-0,Southern Miss,9/22/1995,Rook,,Miami Dolphins / 6th / 209th pick / 2018,$480000
55,Jerome Baker\BakeJe00,22,OLB,8,6,215,6-2,Ohio St.,12/25/1996,Rook,,Miami Dolphins / 3rd / 73rd pick / 2018,$480000
27,Kalen Ballage\BallKa00,23,RB,4,0,237,6-2,Arizona St.,12/22/1995,Rook,,Miami Dolphins / 4th / 131st pick / 2018,$480000
38,Brandon Bolden\BoldBr00,28,RB,8,0,220,5-11,Mississippi,1/26/1990,6,,,$790000
50,Andre Branch\BranAn00,29,DE,6,1,265,6-5,Clemson,7/14/1989,6,,Jacksonville Jaguars / 2nd / 38th pick / 2012,$7900000
64,Jake Brendel\BrenJa01,26,C,,,299,6-4,UCLA,9/10/1992,2,,,$393000
88,Leonte Carroo\CarrLe00,24,WR,1,0,215,6-1,Rutgers,1/24/1994,2,,Miami Dolphins / 3rd / 86th pick / 2016,$129200
77,Jesse Davis\DaviJe00,27,T,8,8,325,6-6,Idaho,9/15/1991,1,,,$555000
92,John Denney\DennJo20,40,DE,8,0,242,6-5,BYU,12/13/1978,13,,,$1015000
85,A.J. Derby\DerbA.00,27,TE,3,0,240,6-5,Arkansas,9/20/1991,2,,New England Patriots / 6th / 202nd pick / 2015,$705000
32,Kenyan Drake\DrakKe00,24,RB,8,5,211,6-1,Alabama,1/26/1994,2,,Miami Dolphins / 3rd / 73rd pick / 2016,$705000
9,David Fales\FaleDa00,28,QB,,,213,6-2,San Jose St.,10/4/1990,4,,Chicago Bears / 6th / 183rd pick / 2014,$790000
4,Luke Falk\FalkLu00,24,QB,,,215,6-4,Washington St.,12/28/1994,Rook,,Tennessee Titans / 6th / 199th pick / 2018,$480000
29,Minkah Fitzpatrick\FitzMi00,22,FS,8,3,202,6-1,Alabama,11/4/1996,Rook,,Miami Dolphins / 1st / 11th pick / 2018,$480000
86,Mike Gesicki\GesiMi00,23,TE,8,3,245,6-6,Penn St.,10/3/1995,Rook,,Miami Dolphins / 2nd / 42nd pick / 2018,$480000
56,Davon Godchaux\GodcDa00,24,DT,8,8,315,6-3,LSU,11/11/1994,1,,Miami Dolphins / 5th / 178th pick / 2017,$555000
21,Frank Gore\GoreFr00,35,RB,8,8,212,5-9,Miami (FL),5/14/1983,13,,San Francisco 49ers / 3rd / 65th pick / 2005,$1015000
19,Jakeem Grant\GranJa00,26,WR,8,2,169,5-7,Texas Tech,9/30/1992,2,,Miami Dolphins / 6th / 186th pick / 2016,$630000
48,MarQueis Gray\GrayMa00,29,TE,,,263,6-4,Minnesota,11/7/1989,5,,,$925000
2,Matt Haack\HaacMa00,24,P,8,0,202,6-0,Arizona St.,6/25/1994,1,,,$555000
90,Charles Harris\HarrCh03,23,DE,5,1,250,6-3,Missouri,3/6/1995,1,,Miami Dolphins / 1st / 22nd pick / 2017,$957897
95,William Hayes\HayeWi99,33,DE,3,0,265,6-3,Winston-Salem St.,5/2/1985,10,,Tennessee Titans / 4th / 103rd pick / 2008,$4000000
25,Xavien Howard\HowaXa00,25,CB,8,8,192,6-1,Baylor,7/4/1993,2,,Miami Dolphins / 2nd / 38th pick / 2016,$1007094
45,Mike Hull\HullMi01,27,LB,,,235,6-0,Penn St.,5/25/1991,3,,,$705000
70,Ja'Wuan James\JameJa01,26,OT,8,8,312,6-6,Tennessee,6/3/1992,4,,Miami Dolphins / 1st / 19th pick / 2014,$9341000
73,Wesley Johnson\JohnWe00,27,OT,3,0,309,6-5,Vanderbilt,1/9/1991,4,,Pittsburgh Steelers / 5th / 173rd pick / 2014,$604118
20,Reshad Jones\JoneRe99,30,DB,6,6,215,6-1,Georgia,2/25/1988,8,,Miami Dolphins / 5th / 163rd pick / 2010,$970000
67,Daniel Kilgore\KilgDa00,31,OL,4,4,291,6-3,Appalachian St.,12/18/1987,7,,San Francisco 49ers / 5th / 163rd pick / 2011,$2525000
62,Ted Larsen\LarsTe20,31,C,8,7,323,6-3,North Carolina St.,6/13/1987,8,,New England Patriots / 6th / 205th pick / 2010,$1500000
75,Cameron Malveaux\MalvCa00,24,DE,3,0,265,6-5,Houston,9/22/1994,1,,,$367059
28,Bobby McCain\McCaBo01,25,CB,6,6,192,5-11,Memphis,8/18/1993,3,,Miami Dolphins / 5th / 145th pick / 2015,$705000
22,T.J. McDonald\McDoTJ00,27,FS,8,8,223,6-2,USC,1/26/1991,5,,St. Louis Rams / 3rd / 71st pick / 2013,$1500000
52,Raekwon McMillan\McMiRa02,23,ILB,8,8,248,6-2,Ohio St.,11/17/1995,Rook,,Miami Dolphins / 2nd / 54th pick / 2017,$678524
24,Torry McTyer\McTyTo00,23,CB,7,2,188,5-11,UNLV,4/10/1995,1,,,$555000
83,Nick O'Leary\OLeaNi00,26,TE,4,2,252,6-3,Florida St.,8/31/1992,3,,Buffalo Bills / 6th / 194th pick / 2015,$617123
8,Brock Osweiler\OsweBr00,28,QB,4,3,240,6-7,Arizona St.,11/22/1990,6,,Denver Broncos / 2nd / 57th pick / 2012,$790000
11,DeVante Parker\ParkDe01,25,WR,3,2,216,6-3,Louisville,1/20/1993,3,,Miami Dolphins / 1st / 14th pick / 2015,$1918165
34,Senorise Perry\PerrSe00,27,RB,8,0,210,6-0,Louisville,9/19/1991,4,,,$630000
65,Jamiyus Pittman\PittJa00,24,DT,3,0,319,6-2,,10/23/1994,Rook,,,$129200
94,Robert Quinn\QuinRo00,28,DE,8,8,257,6-4,North Carolina,5/18/1990,7,,St. Louis Rams / 1st / 14th pick / 2011,$10333301
7,Jason Sanders\SandJa00,23,K,8,0,186,5-11,New Mexico,11/16/1995,Rook,,Miami Dolphins / 7th / 229th pick / 2018,$480000
71,Josh Sitton\SittJo20,32,G,1,1,318,6-3,Central Florida,6/16/1986,10,,Green Bay Packers / 4th / 135th pick / 2008,$1015000
26,Maurice Smith\SmitMa04,23,FS,5,0,194,6-0,Georgia,6/14/1995,1,,,$129200
46,Durham Smythe\SmytDu00,23,TE,8,0,248,6-6,Notre Dame,9/8/1995,Rook,,Miami Dolphins / 4th / 123rd pick / 2018,$480000
53,Martrell Spaight\SpaiMa00,25,OLB,4,0,243,6-0,Arkansas,8/5/1993,3,,Washington Redskins / 5th / 141st pick / 2015,$580588
93,Akeem Spence\SpenAk00,27,DT,8,8,307,6-1,Illinois,11/29/1991,5,,Tampa Bay Buccaneers / 4th / 100th pick / 2013,$2575000
74,Zach Sterup\SterZa00,26,OL,4,0,327,6-9,,5/14/1992,1,,,$555000
10,Kenny Stills\StilKe00,26,WR,7,7,202,6-1,Oklahoma,4/22/1992,5,,New Orleans Saints / 5th / 144th pick / 2013,$7975000
66,Travis Swanson\SwanTr00,27,C,5,4,304,6-5,Arkansas,1/30/1991,4,,Detroit Lions / 3rd / 76th pick / 2014,$743529
23,Cordrea Tankersley\TankCo00,25,CB,6,0,200,6-1,Clemson,11/19/1993,1,,Miami Dolphins / 3rd / 97th pick / 2017,$583000
17,Ryan Tannehill\TannRy00,30,QB,5,5,207,6-4,Texas A&M,7/27/1988,6,,Miami Dolphins / 1st / 8th pick / 2012,$790000
96,Vincent Taylor\TaylVi00,24,DT,8,0,306,6-3,Oklahoma St.,1/5/1994,1,,Miami Dolphins / 6th / 194th pick / 2017,$555000
78,Laremy Tunsil\TunsLa00,24,OT,8,8,318,6-5,Mississippi,8/2/1994,2,,Miami Dolphins / 1st / 13th pick / 2016,$1582514
91,Cameron Wake\WakeCa00,36,LB,6,6,263,6-3,Penn St.,1/30/1982,9,,,$8000000
15,Albert Wilson\WilsAl02,26,WR,7,3,186,5-9,Georgia St.Georgia St.,7/12/1992,4,,,$790000
76,Jonathan Woodard\WoodJo00,25,DE,4,0,271,6-6,Central Arkansas,9/19/1993,Rook,,Jacksonville Jaguars / 7th / 226th pick / 2016,$129200
79,Sam Young\YounSa21,31,T,5,0,302,6-8,Notre Dame,6/24/1987,8,,Dallas Cowboys / 6th / 179th pick / 2010,$915000
,Team Total,26.6,,8,,246.6,6-2.6,,,3.7,,,
