No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
20,Mackensie Alexander\AlexMa01,25,CB,6,4,192,5-10,Clemson,11/12/1993,2,,Minnesota Vikings / 2nd / 54th pick / 2016,$842391
61,Ade Aruna\ArunAd00,24,DE,,,263,6-5,Tulane,4/27/1994,Rook,,Minnesota Vikings / 6th / 218th pick / 2018,$363000
5,Dan Bailey\BailDa00,30,K,5,0,195,6-0,Oklahoma St.,1/26/1988,7,,,$1750000
55,Anthony Barr\BarrAn00,26,OLB,7,7,255,6-5,UCLA,3/18/1992,4,,Minnesota Vikings / 1st / 9th pick / 2014,$12306000
44,Mike Boone\BoonMi00,23,RB,5,0,205,5-10,,6/30/1995,Rook,,,$480000
90,Tashawn Bower\BoweTa00,23,OLB,4,0,250,6-4,LSU,2/18/1995,1,,,$555000
40,Kentrell Brothers\BrotKe00,25,ILB,3,0,242,6-1,Missouri,2/8/1993,2,,Minnesota Vikings / 5th / 160th pick / 2016,$630000
76,Aviante Collins\CollAv00,25,OG,,,292,6-4,TCU,4/21/1993,1,,,$388412
79,Tom Compton\CompTo00,29,T,7,7,313,6-5,South Dakota,5/10/1989,6,,Washington Redskins / 6th / 193rd pick / 2012,$800000
83,Tyler Conklin\ConkTy00,23,TE,7,1,254,6-4,Central Michigan,7/30/1995,Rook,,Minnesota Vikings / 5th / 157th pick / 2018,$480000
33,Dalvin Cook\CookDa01,23,RB,3,3,210,5-10,Florida St.,8/10/1995,1,,Minnesota Vikings / 2nd / 41st pick / 2017,$753788
8,Kirk Cousins\CousKi00,30,QB,7,7,202,6-3,Michigan St.,8/19/1988,6,,Washington Redskins / 4th / 102nd pick / 2012,$22500000
14,Stefon Diggs\DiggSt00,25,WR,7,7,191,6-0,Maryland,11/29/1993,3,,Minnesota Vikings / 5th / 146th pick / 2015,$1907000
57,Devante Downs\DownDe00,23,LB,4,0,252,6-2,California,10/18/1995,Rook,,Minnesota Vikings / 7th / 225th pick / 2018,$480000
62,Nick Easton\EastNi00,26,C,,,303,6-3,Harvard,6/16/1992,2,,,$2914000
65,Pat Elflein\ElflPa00,24,C,5,4,303,6-2,Ohio St.,7/6/1994,1,,Minnesota Vikings / 3rd / 70th pick / 2017,$637000
42,Ben Gedeon\GedeBe00,24,ILB,7,2,244,6-2,Michigan,10/16/1994,1,,Minnesota Vikings / 4th / 120th pick / 2017,$555000
97,Everson Griffen\GrifEv99,31,DE,2,2,273,6-3,USC,12/22/1987,8,,Minnesota Vikings / 4th / 100th pick / 2010,$3900000
30,C.J. Ham\HamxC.00,25,RB,7,0,235,5-11,Augustana (SD),7/22/1993,1,,,$555000
41,Anthony Harris\HarrAn01,27,DB,6,0,192,6-1,Virginia,6/4/1991,3,,,$705000
24,Holton Hill\HillHo00,21,CB,7,0,196,6-3,Texas,3/28/1997,Rook,,,$480000
69,Rashod Hill\HillRa01,26,T,7,7,313,6-6,Southern Miss,1/12/1992,2,,,$630000
92,Jalyn Holmes\HolmJa01,22,DE,3,0,283,6-5,Ohio St.,1/25/1996,Rook,,Minnesota Vikings / 4th / 102nd pick / 2018,$480000
