No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
83,Dwayne Allen\AlleDw00,28,TE,7,4,265,6-3,Clemson,2/24/1990,6,,Indianapolis Colts / 3rd / 64th pick / 2012,$3380000
6,Ryan Allen\AlleRy01,28,P,7,0,220,6-2,Louisiana Tech,2/28/1990,5,,,$1300000
16,Darren Andrews\AndrDa01,23,WR,,,180,5-10,,8/5/1995,Rook,,,$480000
60,David Andrews\AndrDa00,26,C,7,7,300,6-3,Georgia,7/10/1992,3,,,$900000
38,Kenjon Barner\BarnKe00,28,RB,3,0,195,5-9,Oregon,4/28/1990,5,,Carolina Panthers / 6th / 182nd pick / 2013,$743529
51,Ja'Whaun Bentley\BentJa00,22,ILB,3,2,255,6-2,Purdue,8/24/1996,Rook,,New England Patriots / 5th / 143rd pick / 2018,$480000
14,Braxton Berrios\BerrBr00,23,WR,,,190,5-9,Miami (FL),10/6/1995,Rook,,New England Patriots / 6th / 210th pick / 2018,$363000
12,Tom Brady\BradTo00,41,QB,7,7,225,6-4,Michigan,8/3/1977,18,,New England Patriots / 6th / 199th pick / 2000,$4000000
90,Malcom Brown\BrowMa01,24,DT,6,6,320,6-2,Texas,2/2/1994,3,,New England Patriots / 1st / 32nd pick / 2015,$1473167
67,Trent Brown\BrowTr02,25,OT,7,7,380,6-8,Florida,4/13/1993,3,,San Francisco 49ers / 7th / 244th pick / 2015,$190700
34,Rex Burkhead\BurkRe00,28,RB,3,2,215,5-10,Nebraska,7/2/1990,5,,Cincinnati Bengals / 6th / 190th pick / 2013,$1000000
70,Adam Butler\ButlAd00,24,DT,7,0,300,6-4,Vanderbilt,4/12/1994,1,,,$555000
61,Marcus Cannon\CannMa00,30,OL,5,5,335,6-6,TCU,5/6/1988,7,,New England Patriots / 5th / 138th pick / 2011,$4000000
49,Joe Cardona\CardJo00,26,LS,7,0,245,6-3,Navy,4/16/1992,3,,New England Patriots / 5th / 166th pick / 2015,$705000
23,Patrick Chung\ChunPa99,31,DB,6,6,215,5-11,Oregon,8/19/1987,9,,New England Patriots / 2nd / 34th pick / 2009,$915000
94,Adrian Clayborn\ClayAd00,30,DL,7,1,280,6-3,Iowa,7/6/1988,7,,Tampa Bay Buccaneers / 1st / 20th pick / 2011,$1500000
35,Keion Crossen\CrosKe00,22,CB,5,0,185,5-10,West. Carolina,4/17/1996,Rook,,New England Patriots / 7th / 243rd pick / 2018,$480000
74,Cole Croston\CrosCo00,25,OT,1,0,310,6-5,Iowa,12/25/1993,1,,,$129200
58,Keionta Davis\DaviKe03,24,DL,3,1,280,6-3,,3/1/1994,Rook,,,$480000
29,Duke Dawson\DawsDu00,22,CB,,,198,5-10,Florida,10/3/1996,Rook,,New England Patriots / 2nd / 56th pick / 2018,$363000
46,James Develin\DeveJa00,30,RB,7,3,255,6-3,Brown,7/23/1988,7,,,$800000
13,Phillip Dorsett\DorsPh00,25,WR,7,2,192,5-10,Miami (FL),1/5/1993,3,,Indianapolis Colts / 1st / 29th pick / 2015,$1094373
43,Nate Ebner\EbneNa00,30,DB,7,0,215,6-0,Ohio St.,12/14/1988,6,,New England Patriots / 6th / 197th pick / 2012,$1200000
11,Julian Edelman\EdelJu00,32,WR,3,3,198,5-10,Kent St.,5/22/1986,9,,New England Patriots / 7th / 232nd pick / 2009,$1529412
98,Trey Flowers\FlowTr00,25,DE,6,6,265,6-2,Arkansas,8/16/1993,3,,New England Patriots / 4th / 101st pick / 2015,$1907000
24,Stephon Gilmore\GilmSt00,28,CB,7,7,202,6-1,South Carolina,9/19/1990,6,,Buffalo Bills / 1st / 10th pick / 2012,$8500000
10,Josh Gordon\GordJo02,27,WR,4,4,225,6-3,UtahBaylor,4/13/1991,6,,Cleveland Browns / 2nd / 1st pick / 2012 Supp,$790000
3,Stephen Gostkowski\GostSt20,34,K,7,0,215,6-1,Memphis,1/28/1984,12,,New England Patriots / 4th / 118th pick / 2006,$3200000
50,Nicholas Grigsby\GrigNi01,26,LB,7,0,230,6-2,Pittsburgh,7/2/1992,2,,,$630000
96,Geneo Grissom\GrisGe00,26,OLB,3,0,265,6-4,Oklahoma,6/4/1992,3,,New England Patriots / 3rd / 97th pick / 2015,$705000
87,Rob Gronkowski\GronRo00,29,TE,6,6,265,6-6,Arizona,5/14/1989,8,,New England Patriots / 2nd / 42nd pick / 2010,$8000000
93,Lawrence Guy\GuyxLa00,28,DT,7,7,315,6-4,Arizona St.,3/17/1990,7,,Green Bay Packers / 7th / 233rd pick / 2011,$1400000
21,Duron Harmon\HarmDu00,27,FS,7,2,205,6-1,Rutgers,1/24/1991,5,,New England Patriots / 3rd / 91st pick / 2013,$1500000
54,Dont'a Hightower\HighDo01,28,ILB,7,7,260,6-3,Alabama,3/12/1990,6,,New England Patriots / 1st / 25th pick / 2012,$5750000
33,Jeremy Hill\HillJe01,26,RB,1,0,230,6-1,LSU,10/20/1992,4,,Cincinnati Bengals / 2nd / 55th pick / 2014,$1000000
15,Chris Hogan\HogaCh00,30,WR,7,3,210,6-1,Monmouth,10/24/1988,7,,,$3000000
47,Jacob Hollister\HollJa03,25,TE,3,1,245,6-4,Wyoming,11/18/1993,1,,,$555000
2,Brian Hoyer\HoyeBr00,33,QB,1,0,216,6-2,Michigan St.,10/13/1985,9,,,$915000
60,Ryan Izzo\IzzoRy00,23,TE,,,255,6-5,Florida St.,12/21/1995,Rook,,New England Patriots / 7th / 250th pick / 2018,$363000
27,J.C. Jackson\JackJ.00,23,DB,4,0,198,6-1,,11/17/1995,Rook,,,$480000
67,Ulrick John\JohnUl00,26,OT,,,312,6-5,Georgia St.,5/20/1992,4,,Indianapolis Colts / 7th / 232nd pick / 2014,$433000
31,Jonathan Jones\JoneJo03,25,DB,7,4,190,5-10,Auburn,9/20/1993,2,,,$630000
75,Ted Karras\KarrTe00,25,OG,4,0,305,6-4,Illinois,3/15/1993,2,,New England Patriots / 6th / 221st pick / 2016,$630000
36,Brandon King\KingBr02,25,DB,7,0,220,6-2,Auburn,6/8/1993,3,,,$775000
69,Shaq Mason\MasoSh01,25,C,7,7,310,6-1,Georgia Tech,8/28/1993,3,,New England Patriots / 4th / 131st pick / 2015,$907000
32,Devin McCourty\McCoDe99,31,DB,7,7,195,5-10,Rutgers,8/13/1987,8,,New England Patriots / 1st / 27th pick / 2010,$7500000
30,Jason McCourty\McCoJa99,31,DB,7,5,195,5-11,Rutgers,8/13/1987,9,,Tennessee Titans / 6th / 203rd pick / 2009,$1600000
26,Sony Michel\MichSo00,23,RB,6,4,215,5-11,Georgia,2/17/1995,Rook,,New England Patriots / 1st / 31st pick / 2018,$480000
84,Cordarrelle Patterson\PattCo00,27,WR,7,2,220,6-2,Tennessee,3/17/1991,5,,Minnesota Vikings / 1st / 29th pick / 2013,$3000000
95,Derek Rivers\RiveDe00,24,DE,3,0,250,6-5,Youngstown St.,5/9/1994,Rook,,New England Patriots / 3rd / 83rd pick / 2017,$555000
52,Elandon Roberts\RobeEl00,24,ILB,7,6,238,6-0,Houston,4/22/1994,2,,New England Patriots / 6th / 214th pick / 2016,$630000
25,Eric Rowe\RoweEr00,26,CB,4,2,205,6-1,Utah,10/3/1992,3,,Philadelphia Eagles / 2nd / 47th pick / 2015,$1100435
44,Christian Sam\SamxCh00,22,ILB,,,240,6-2,Arizona St.,6/7/1996,Rook,,New England Patriots / 6th / 178th pick / 2018,$363000
63,Brian Schwenke\SchwBr00,27,C,3,0,318,6-3,California,3/22/1991,5,,Tennessee Titans / 4th / 107th pick / 2013,$790000
71,Danny Shelton\ShelDa01,25,DT,7,1,345,6-2,Washington,8/20/1993,3,,Cleveland Browns / 1st / 12th pick / 2015,$2030954
51,John Simon\SimoJo01,28,DE,2,0,260,6-2,Ohio St.,10/14/1990,5,,Baltimore Ravens / 4th / 129th pick / 2013,$650588
18,Matt Slater\SlatMa00,33,WR,7,0,205,6-0,UCLA,9/9/1985,10,,New England Patriots / 5th / 153rd pick / 2008,$1200000
62,Joe Thuney\ThunJo00,26,OG,7,7,308,6-5,North Carolina St.,11/19/1992,2,,New England Patriots / 3rd / 78th pick / 2016,$630000
53,Kyle Van Noy\VanNKy00,27,OLB,7,7,250,6-3,BYU,3/26/1991,4,,Detroit Lions / 2nd / 40th pick / 2014,$2000000
68,LaAdrian Waddle\WaddLa01,27,T,7,2,315,6-6,Texas Tech,7/21/1991,5,,,$800000
28,James White\WhitJa02,26,RB,7,1,205,5-10,Wisconsin,2/3/1992,4,,New England Patriots / 4th / 130th pick / 2014,$1000000
91,Deatrich Wise\WiseDe00,24,DE,7,0,275,6-5,Arkansas,7/26/1994,1,,New England Patriots / 4th / 131st pick / 2017,$555000
50,Isaiah Wynn\WynnIs00,22,OT,,,310,6-2,Georgia,12/10/1996,Rook,,New England Patriots / 1st / 23rd pick / 2018,$363000
,Team Total,27.1,,7,,247.4,6-1.8,,,4.5,,,
