No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
47,Alex Anzalone\AnzaAl00,24,OLB,6,3,241,6-3,Florida,9/22/1994,1,,New Orleans Saints / 3rd / 76th pick / 2017,$610000
24,Eli Apple\ApplEl00,23,CB,,,203,6-1,Ohio St.,8/9/1995,2,,New York Giants / 1st / 10th pick / 2016,$1827484
72,Terron Armstead\ArmsTe00,27,OT,6,6,304,6-5,Ark-Pine Bluff,7/23/1991,5,,New Orleans Saints / 3rd / 75th pick / 2013,$10200000
85,Dan Arnold\ArnoDa00,23,WR,2,0,220,6-6,,3/15/1995,Rook,,,$480000
31,Chris Banjo\BanjCh00,28,S,6,0,207,5-10,SMU,2/26/1990,5,,,$1000000
24,Vonn Bell\BellVo00,24,SS,6,3,205,5-11,Ohio St.,12/12/1994,2,,New Orleans Saints / 2nd / 61st pick / 2016,$811118
59,Vince Biegel\BiegVi00,25,OLB,4,0,246,6-3,Wisconsin,7/2/1993,1,,Green Bay Packers / 4th / 108th pick / 2017,$555000
9,Drew Brees\BreeDr00,39,QB,6,6,209,6-0,Purdue,1/15/1979,17,,San Diego Chargers / 2nd / 32nd pick / 2001,$10200000
5,Teddy Bridgewater\BridTe00,26,QB,1,0,215,6-2,Louisville,11/10/1992,4,,Minnesota Vikings / 1st / 32nd pick / 2014,$915000
90,Jay Bromley\BromJa00,26,DT,2,0,314,6-3,Syracuse,5/28/1992,4,,New York Giants / 3rd / 74th pick / 2014,$697059
74,Jermon Bushrod\BushJe20,34,T,4,1,318,6-5,Towson,8/19/1984,11,,New Orleans Saints / 4th / 125th pick / 2007,$955294
80,Austin Carr\CarrAu00,25,WR,6,1,195,6-1,Northwestern,12/25/1993,1,,,$555000
64,Will Clapp\ClapWi00,23,C,,,311,6-5,LSU,12/10/1995,Rook,,New Orleans Saints / 7th / 245th pick / 2018,$480000
20,Kurt Coleman\ColeKu99,30,LB,6,4,208,5-11,Ohio St.,7/1/1988,8,,Philadelphia Eagles / 7th / 244th pick / 2010,$1700000
20,Ken Crawley\CrawKe02,25,DB,6,5,180,6-1,Colorado,2/8/1993,2,,,$630000
92,Marcus Davenport\DaveMa00,22,DE,6,0,265,6-6,Texas-San Antonio,9/4/1996,Rook,,New Orleans Saints / 1st / 14th pick / 2018,$480000
56,Demario Davis\DaviDe00,29,OLB,6,6,248,6-2,Arkansas St.,1/11/1989,6,,New York Jets / 3rd / 77th pick / 2012,$850000
95,Tyeler Davison\DaviTy01,26,DT,4,2,309,6-2,Fresno St.,9/23/1992,3,,New Orleans Saints / 5th / 154th pick / 2015,$1907000
14,Travin Dural\DuraTr00,25,WR,,,207,6-2,LSU,11/19/1993,Rook,,,$363000
19,Ted Ginn\GinnTe00,33,WR,4,3,180,5-11,Ohio St.,4/12/1985,11,,Miami Dolphins / 1st / 9th pick / 2007,$3000000
48,J.T. Gray\GrayJ.00,22,DB,5,0,202,6-0,,1/18/1996,Rook,,,$480000
77,Chaz Green\GreeCh02,26,OT,,,318,6-5,Florida,4/8/1992,2,,Dallas Cowboys / 3rd / 91st pick / 2015,
34,Justin Hardee\HardJu01,24,WR,6,0,200,6-1,Illinois,2/7/1994,1,,,$555000
91,Trey Hendrickson\HendTr00,24,DE,1,0,270,6-4,Florida Atlantic,12/5/1994,1,,New Orleans Saints / 3rd / 103rd pick / 2017,$578000
89,Josh Hill\HillJo02,28,TE,6,3,250,6-5,Idaho St.,5/21/1990,5,,,$1800000
7,Taysom Hill\HillTa00,28,QB,6,0,221,6-2,BYU,8/23/1990,1,,,$555000
84,Michael Hoomanawanui\HoomMi00,30,TE,,,265,6-4,Illinois,7/4/1988,8,,St. Louis Rams / 5th / 132nd pick / 2010,$1350000
22,Mark Ingram\IngrMa01,29,RB,2,1,215,5-9,Alabama,12/21/1989,7,,New Orleans Saints / 1st / 28th pick / 2011,$4000000
46,Rickey Jefferson\JeffRi00,24,DB,,,208,5-11,,12/28/1994,Rook,,,$363000
94,Cameron Jordan\JordCa00,29,DE,6,6,287,6-4,California,7/10/1989,7,,New Orleans Saints / 1st / 24th pick / 2011,$8650000
41,Alvin Kamara\KamaAl00,23,RB,6,5,215,5-10,Tennessee,7/25/1995,1,,New Orleans Saints / 3rd / 67th pick / 2017,$6350000
53,A.J. Klein\KleiAJ00,27,ILB,6,5,240,6-1,Iowa St.,7/30/1991,5,,Carolina Panthers / 5th / 148th pick / 2013,$4100000
36,Daniel Lasco\LascDa00,26,RB,,,205,6-1,California,10/9/1992,2,,New Orleans Saints / 7th / 237th pick / 2016,
23,Marshon Lattimore\LattMa01,22,CB,6,6,192,6-0,Ohio St.,5/19/1996,1,,New Orleans Saints / 1st / 11th pick / 2017,$1163162
61,Josh LeRibeus\LeRiJo00,29,G,6,3,315,6-2,SMU,7/2/1989,6,,Washington Redskins / 3rd / 71st pick / 2012,$790000
11,Tommylee Lewis\LewiTo00,26,WR,2,0,168,5-7,Northern Illinois,10/24/1992,2,,,$630000
42,Zach Line\LineZa01,28,FB,6,2,233,6-1,SMU,5/26/1990,5,,,$850000
70,Mitchell Loewen\LoewMi00,25,DE,1,0,275,6-5,Arkansas,2/14/1993,1,,,$480000
3,Wil Lutz\LutzWi00,24,K,6,0,184,5-11,Georgia St.,7/7/1994,2,,,$630000
81,Cameron Meredith\MereCa00,26,WR,4,1,207,6-3,Illinois St.,9/21/1992,3,,,$850000
6,Thomas Morstead\MorsTh00,32,P,6,0,235,6-4,SMU,3/8/1986,9,,New Orleans Saints / 5th / 164th pick / 2009,$918000
57,Alex Okafor\OkafAl00,27,DE,6,6,261,6-4,Texas,2/8/1991,5,,Arizona Cardinals / 4th / 103rd pick / 2013,$850000
65,Michael Ola\OlaxMi00,30,T,2,0,312,6-5,Hampton,4/19/1988,4,,,
93,David Onyemata\OnyeDa00,26,DT,6,4,300,6-4,Manitoba,11/13/1992,2,,New Orleans Saints / 4th / 120th pick / 2016,$630000
75,Andrus Peat\PeatAn00,25,OT,3,3,316,6-7,Stanford,11/4/1993,3,,New Orleans Saints / 1st / 13th pick / 2015,$1988657
71,Ryan Ramczyk\RamcRy00,24,OT,6,6,314,6-6,Wisconsin,4/22/1994,1,,New Orleans Saints / 1st / 32nd pick / 2017,$869162
98,Sheldon Rankins\RankSh00,24,DT,6,6,305,6-2,Louisville,4/4/1994,2,,New Orleans Saints / 1st / 12th pick / 2016,$1613786
52,Craig Robertson\RobeCr00,30,LB,6,0,234,6-1,North Texas,2/11/1988,7,,,$1275000
32,Josh Robinson\RobiJo01,27,CB,2,0,200,5-10,Central Florida,1/8/1991,6,,Minnesota Vikings / 3rd / 66th pick / 2012,$699706
21,Patrick Robinson\RobiPa99,31,DB,3,1,191,5-11,Florida St.,9/7/1987,8,,New Orleans Saints / 1st / 32nd pick / 2010,$1000000
10,Tre'Quan Smith\SmitTr03,22,WR,6,3,210,6-2,Central Florida,1/7/1996,Rook,,New Orleans Saints / 3rd / 91st pick / 2018,$480000
76,Taylor Stallworth\StalTa00,23,DT,4,0,305,6-2,,8/18/1995,Rook,,,$480000
51,Manti Te'o\TeoxMa00,27,ILB,3,1,241,6-1,Notre Dame,1/26/1991,5,,San Diego Chargers / 2nd / 38th pick / 2013,$1700000
13,Michael Thomas\ThomMi05,25,WR,6,6,212,6-3,Ohio St.,3/3/1993,2,,New Orleans Saints / 2nd / 47th pick / 2016,$915361
63,Cameron Tom\TomxCa00,23,C,2,0,300,6-4,Southern Miss,6/21/1995,Rook,,,$555000
60,Max Unger\UngeMa20,32,C,6,6,305,6-5,Oregon,4/14/1986,9,,Seattle Seahawks / 2nd / 49th pick / 2009,$4500000
67,Larry Warford\WarfLa00,27,OG,6,6,317,6-3,Kentucky,6/18/1991,5,,Detroit Lions / 3rd / 65th pick / 2013,$4250000
27,Dwayne Washington\WashDw00,24,RB,3,0,223,6-1,Washington,4/24/1994,2,,Detroit Lions / 7th / 236th pick / 2016,$518824
82,Ben Watson\WatsBe00,38,TE,6,4,251,6-3,DukeGeorgia,12/18/1980,14,,New England Patriots / 1st / 32nd pick / 2004,$1105000
43,Marcus Williams\WillMa06,22,S,6,6,195,6-1,Utah,9/8/1996,1,,New Orleans Saints / 2nd / 42nd pick / 2017,$748656
26,P.J. Williams\WillP.00,25,CB,5,2,196,6-0,Florida St.,6/1/1993,2,,New Orleans Saints / 3rd / 78th pick / 2015,$730000
49,Zach Wood\WoodZa00,25,DE,6,0,255,6-3,,1/10/1993,1,,,$555000
,Team Total,26.7,,6,,241.3,6-1.8,,,4.0,,,
