No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
26,Saquon Barkley\BarkSa00,21,RB,7,7,233,5-11,Penn St.,2/9/1997,Rook,,New York Giants / 1st / 2nd pick / 2018,$480000
53,Connor Barwin\BarwCo99,32,DE,7,3,255,6-4,Cincinnati,10/15/1986,9,,Houston Texans / 2nd / 46th pick / 2009,$1270000
41,Sam Beal\BealSa00,22,,,,177,6-1,West. Michigan,8/30/1996,Rook,,New York Giants / 3rd / 1st pick / 2018 Supp,$363000
13,Odell Beckham\BeckOd00,26,WR,7,7,198,5-11,LSU,11/5/1992,4,,New York Giants / 1st / 12th pick / 2014,$1459000
67,Evan Brown\BrowEv00,22,C,,,302,6-2,,9/16/1996,Rook,,,$480000
59,Lorenzo Carter\CartLo01,23,DE,7,0,250,6-5,Georgia,12/10/1995,Rook,,New York Giants / 3rd / 66th pick / 2018,$480000
36,Sean Chandler\ChanSe00,22,FS,7,0,205,5-10,Temple,4/27/1996,Rook,,,$480000
19,Corey Coleman\ColeCo00,24,WR,,,185,5-11,Baylor,7/6/1994,2,,Cleveland Browns / 1st / 15th pick / 2016,
21,Landon Collins\CollLa00,24,SS,7,7,218,6-0,Alabama,1/10/1994,3,,New York Giants / 2nd / 33rd pick / 2015,$1269620
80,Jawill Davis\DaviJa07,23,WR,3,0,193,6-0,,4/6/1995,Rook,,,$129200
58,Tae Davis\DaviTa00,22,LB,5,0,224,6-1,,8/14/1996,Rook,,,$480000
51,Zak DeOssie\DeOsZa99,34,LB,7,0,250,6-5,Brown,5/24/1984,11,,New York Giants / 4th / 116th pick / 2007,$1015000
15,Riley Dixon\DixoRi00,25,P,7,0,221,6-4,Syracuse,8/24/1993,2,,Denver Broncos / 7th / 228th pick / 2016,$630000
99,Mario Edwards\EdwaMa01,24,DE,7,0,280,6-3,Florida St.,4/19/1994,3,,Oakland Raiders / 2nd / 35th pick / 2015,$1255521
45,Ukeme Eligwe\EligUk00,24,OLB,1,0,239,6-2,Georgia Southern,4/27/1994,1,,Kansas City Chiefs / 5th / 183rd pick / 2017,$359118
85,Rhett Ellison\ElliRh00,30,FB,6,5,255,6-5,USC,10/3/1988,6,,Minnesota Vikings / 4th / 128th pick / 2012,$2475000
88,Evan Engram\EngrEv00,24,TE,4,4,240,6-3,Mississippi,9/2/1994,1,,New York Giants / 1st / 23rd pick / 2017,$952196
18,Bennie Fowler\FowlBe00,27,WR,1,1,212,6-1,Michigan St.,6/10/1991,4,,,$456176
22,Wayne Gallman\GallWa00,24,RB,7,1,210,6-0,Clemson,10/1/1994,1,,New York Giants / 4th / 140th pick / 2017,$555000
65,Nick Gates\GateNi00,23,OT,,,307,6-5,Nebraska,11/27/1995,Rook,,,$363000
93,B.J. Goodson\GoodB.00,25,OLB,7,6,241,6-1,Clemson,4/29/1993,2,,New York Giants / 4th / 109th pick / 2016,$630000
73,John Greco\GrecJo20,33,T,6,5,318,6-4,Toledo,3/24/1985,10,,St. Louis Rams / 3rd / 65th pick / 2008,$1015000
75,Jon Halapio\HalaJo00,27,OG,2,2,315,6-3,Florida,6/23/1991,4,,New England Patriots / 6th / 179th pick / 2014,$555000
