No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
33,Jamal Adams\AdamJa00,23,SS,7,7,213,6-1,LSU,10/17/1995,1,,New York Jets / 1st / 6th pick / 2017,$555000
96,Henry Anderson\AndeHe00,27,DE,7,0,301,6-6,Stanford,8/3/1991,3,,Indianapolis Colts / 3rd / 93rd pick / 2015,$1907000
11,Robby Anderson\AndeRo04,25,WR,7,4,190,6-3,Temple,5/9/1993,2,,,$630000
55,Jeremiah Attaochu\AttaJe00,25,OLB,6,0,252,6-3,Georgia Tech,1/17/1993,4,,San Diego Chargers / 2nd / 50th pick / 2014,$790000
93,Tarell Basham\BashTa00,24,DE,1,0,266,6-4,Ohio,3/18/1994,1,,Indianapolis Colts / 3rd / 80th pick / 2017,$590000
68,Kelvin Beachum\BeacKe00,29,T,7,7,308,6-3,SMU,6/8/1989,6,,Pittsburgh Steelers / 7th / 248th pick / 2012,$8000000
23,Terrence Brooks\BrooTe00,26,FS,7,0,200,5-11,Florida St.,3/2/1992,4,,Baltimore Ravens / 3rd / 79th pick / 2014,$14000000
18,Deontay Burnett\BurnDe00,21,WR,1,0,186,6-0,USC,10/4/1997,Rook,,,
,Ibraheim Campbell\CampIb00,26,SS,,,210,5-11,Northwestern,5/13/1992,3,,Cleveland Browns / 4th / 115th pick / 2015,
40,Trenton Cannon\CannTr00,24,RB,7,0,185,5-11,Virginia St.,7/23/1994,Rook,,New York Jets / 6th / 204th pick / 2018,$480000
77,James Carpenter\CarpJa00,29,OL,7,7,321,6-5,Alabama,3/22/1989,7,,Seattle Seahawks / 1st / 25th pick / 2011,$4450000
21,Morris Claiborne\ClaiMo00,28,CB,7,7,192,5-11,LSU,2/7/1990,6,,Dallas Cowboys / 1st / 6th pick / 2012,$3850000
51,Brandon Copeland\CopeBr00,27,LB,7,6,263,6-3,Pennsylvania,7/2/1991,5,,,$1000000
20,Isaiah Crowell\CrowIs00,25,RB,7,0,225,5-11,Alabama St.,1/8/1993,4,,,$1000000
14,Sam Darnold\DarnSa00,21,QB,7,7,225,6-3,USC,6/5/1997,Rook,,New York Jets / 1st / 3rd pick / 2018,$480000
70,Dakota Dozier\DoziDa00,27,OT,,,313,6-4,Furman,4/30/1991,4,,New York Jets / 4th / 137th pick / 2014,$790000
