No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
3,Austin Barnard\BarnAu00,23,K,,,207,6-3,,6/22/1995,Rook,,,$363000
53,Daren Bates\BateDa00,28,LB,7,0,225,5-11,Auburn,11/27/1990,5,,,$1800000
17,Cameron Batson\BatsCa00,23,WR,2,0,175,5-8,,12/20/1995,Rook,,,$480000
48,Beau Brinkley\BrinBe00,28,LSTE,7,0,260,6-4,Missouri,1/25/1990,6,,,$1100000
55,Jayon Brown\BrowJa06,23,ILB,7,3,226,5-11,UCLA,2/26/1995,1,,Tennessee Titans / 5th / 155th pick / 2017,$555000
21,Malcolm Butler\ButlMa01,28,CB,7,5,190,5-11,West Alabama,3/2/1990,4,,,$3500000
31,Kevin Byard\ByarKe01,25,S,7,7,212,5-11,Middle Tenn. St.,8/17/1993,2,,Tennessee Titans / 3rd / 64th pick / 2016,$784566
99,Jurrell Casey\CaseJu00,29,DL,7,7,305,6-1,USC,12/5/1989,7,,Tennessee Titans / 3rd / 77th pick / 2011,$10600000
51,William Compton\CompWi00,29,LB,5,2,235,6-1,Nebraska,9/19/1989,5,,,$1000000
78,Jack Conklin\ConkJa00,24,OT,4,4,308,6-6,Michigan St.,8/17/1994,2,,Tennessee Titans / 1st / 8th pick / 2016,$1895242
44,Kamalei Correa\CorrKa00,24,OLB,6,2,241,6-3,Boise St.,4/27/1994,2,,Baltimore Ravens / 2nd / 42nd pick / 2016,$972694
29,Dane Cruikshank\CruiDa00,23,CB,7,0,209,6-1,Arizona,4/27/1995,Rook,,Tennessee Titans / 5th / 152nd pick / 2018,$480000
37,Johnathan Cyprien\CyprJo00,28,SS,,,223,6-0,Florida International,7/29/1990,5,,Jacksonville Jaguars / 2nd / 33rd pick / 2013,$4500000
84,Corey Davis\DaviCo03,23,WR,7,7,209,6-3,West. Michigan,1/11/1995,1,,Tennessee Titans / 1st / 5th pick / 2017,$555000
92,Matt Dickerson\DickMa00,23,DE,2,0,292,6-5,,9/11/1995,Rook,,,$480000
20,Kenneth Durden\DurdKe00,26,CB,3,0,180,6-1,,5/16/1992,Rook,,,$480000
54,Rashaan Evans\EvanRa01,22,ILB,6,4,232,6-2,Alabama,11/8/1996,Rook,,Tennessee Titans / 1st / 22nd pick / 2018,$480000
56,Sharif Finch\FincSh00,23,LB,7,0,250,6-4,,10/1/1995,Rook,,,$480000
86,Anthony Firkser\FirkAn00,23,TE,3,0,246,6-2,,2/19/1995,Rook,,,$480000
