No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
33,Josh Adams\AdamJo03,22,RB,5,0,225,6-2,Notre Dame,10/26/1996,Rook,,,$1050000
13,Nelson Agholor\AghoNe00,25,WR,7,7,198,6-0,USC,5/24/1993,3,,Philadelphia Eagles / 1st / 20th pick / 2015,$129200
26,Jay Ajayi\AjayJa00,25,RB,4,3,223,6-0,Boise St.,6/15/1993,3,,Miami Dolphins / 5th / 149th pick / 2015,$1907000
57,D.J. Alexander\AlexD.00,27,OLB,5,0,233,6-2,Oregon St.,9/30/1991,3,,Kansas City Chiefs / 5th / 172nd pick / 2015,$705000
96,Derek Barnett\BarnDe01,22,DE,6,6,259,6-3,Tennessee,6/25/1996,1,,Philadelphia Eagles / 1st / 14th pick / 2017,$1049126
77,Michael Bennett\BennMi99,33,DE,7,1,274,6-4,Texas A&M,11/13/1985,9,,,$1650000
38,Elie Bouka\BoukEl00,26,CB,,,205,6-1,,8/15/1992,Rook,,,$363000
53,Nigel Bradham\BradNi00,29,OLB,6,6,241,6-2,Florida St.,9/4/1989,6,,Buffalo Bills / 4th / 105th pick / 2012,$941176
79,Brandon Brooks\BrooBr00,29,G,7,7,335,6-5,Miami (OH),8/19/1989,6,,Houston Texans / 3rd / 76th pick / 2012,$790000
16,DeAndre Carter\CartDe02,25,WR,6,1,190,5-8,,4/10/1993,Rook,,,$480000
30,Corey Clement\ClemCo00,24,RB,5,0,220,5-10,Wisconsin,11/2/1994,1,,,$555000
91,Fletcher Cox\CoxxFl00,28,DT,7,7,310,6-4,Mississippi St.,12/13/1990,6,,Philadelphia Eagles / 1st / 12th pick / 2012,$11500000
21,Ronald Darby\DarbRo00,24,CB,7,7,193,5-11,Florida St.,1/2/1994,3,,Buffalo Bills / 2nd / 50th pick / 2015,$1008139
32,Rasul Douglas\DougRa00,23,CB,7,0,209,6-2,West Virginia,8/29/1995,1,,Philadelphia Eagles / 3rd / 99th pick / 2017,$580000
4,Jake Elliott\ElliJa03,23,K,7,0,167,5-9,Memphis,1/21/1995,1,,Cincinnati Bengals / 5th / 153rd pick / 2017,$555000
86,Zach Ertz\ErtzZa00,28,TE,7,7,250,6-5,Stanford,11/10/1990,5,,Philadelphia Eagles / 2nd / 35th pick / 2013,$790000
9,Nick Foles\FoleNi00,29,QB,2,2,243,6-6,Arizona,1/20/1989,6,,Philadelphia Eagles / 3rd / 88th pick / 2012,$4000000
47,Nathan Gerry\GerrNa00,23,SS,5,1,230,6-2,Nebraska,2/23/1995,1,,Philadelphia Eagles / 5th / 184th pick / 2017,$555000
18,Shelton Gibson\GibsSh00,23,WR,7,0,191,5-11,West Virginia,3/20/1995,1,,Philadelphia Eagles / 5th / 166th pick / 2017,$555000
88,Dallas Goedert\GoedDa00,23,TE,7,4,260,6-4,South Dakota St.,1/3/1995,Rook,,Philadelphia Eagles / 2nd / 49th pick / 2018,$480000
55,Brandon Graham\GrahBr99,30,DE,7,7,265,6-2,Michigan,4/3/1988,8,,Philadelphia Eagles / 1st / 13th pick / 2010,$7000000
24,Corey Graham\GrahCo99,33,DB,5,2,196,6-0,New Hampshire,7/25/1985,11,,Chicago Bears / 5th / 168th pick / 2007,$1015000
54,Kamu Grugier-Hill\GrugKa00,24,OLB,7,4,230,6-2,East. Illinois,5/16/1994,2,,New England Patriots / 6th / 208th pick / 2016,$630000
32,Deiondre' Hall\HallDe02,24,CB,6,0,206,6-2,Northern Iowa,5/31/1994,2,,Chicago Bears / 4th / 127th pick / 2016,$592944
66,Bruce Hector\HectBr00,24,DT,5,0,296,6-2,,10/7/1994,Rook,,,$480000
90,Treyvon Hester\HestTr00,26,DT,3,1,304,6-2,Toledo,9/21/1992,1,,Oakland Raiders / 7th / 244th pick / 2017,$424412
58,Jordan Hicks\HickJo00,26,OLB,7,7,236,6-1,Texas,6/27/1992,3,,Philadelphia Eagles / 3rd / 84th pick / 2015,$1907000
10,Mack Hollins\HollMa00,25,WR,,,221,6-4,North Carolina,9/16/1993,1,,Philadelphia Eagles / 4th / 118th pick / 2017,$378000
17,Alshon Jeffery\JeffAl00,28,WR,4,4,218,6-3,South Carolina,2/14/1990,6,,Chicago Bears / 2nd / 45th pick / 2012,$1000000
27,Malcolm Jenkins\JenkMa99,31,DB,7,7,204,6-0,Ohio St.,12/20/1987,9,,New Orleans Saints / 1st / 14th pick / 2009,$915000
93,Timmy Jernigan\JernTi00,26,DT,,,295,6-2,Florida St.,9/24/1992,4,,Baltimore Ravens / 2nd / 48th pick / 2014,$3000000
65,Lane Johnson\JohnLa01,28,OT,7,7,317,6-6,Oklahoma,5/8/1990,5,,Philadelphia Eagles / 1st / 4th pick / 2013,$790000
1,Cameron Johnston\JohnCa02,26,P,7,0,194,5-11,Ohio St.,2/24/1992,Rook,,,$480000
22,Sidney Jones\JoneSi00,22,CB,6,1,181,6-0,Washington,5/21/1996,1,,Philadelphia Eagles / 2nd / 43rd pick / 2017,$744095
62,Jason Kelce\KelcJa00,31,OL,7,7,295,6-3,Cincinnati,11/5/1987,7,,Philadelphia Eagles / 6th / 191st pick / 2011,$6000000
56,Chris Long\LongCh99,33,DE,7,0,270,6-3,Virginia,3/28/1985,10,,St. Louis Rams / 1st / 2nd pick / 2008,$2500000
45,Rick Lovato\LovaRi00,26,LS,7,0,249,6-2,Old Dominion,9/9/1992,3,,,$630000
29,Avonte Maddox\MaddAv00,22,CB,7,3,180,5-9,Pittsburgh,3/31/1996,Rook,,Philadelphia Eagles / 4th / 125th pick / 2018,$480000
68,Jordan Mailata\MailJo00,21,T,,,346,6-8,,7/3/1997,Rook,,Philadelphia Eagles / 7th / 233rd pick / 2018,$480000
42,Chris Maragos\MaraCh99,31,DB,,,200,5-10,Wisconsin,1/6/1987,8,,,$1750000
80,Jordan Matthews\MattJo00,26,WR,5,1,215,6-3,Vanderbilt,7/16/1992,4,,Philadelphia Eagles / 2nd / 42nd pick / 2014,$697059
34,Dexter McDougle\McDoDe00,27,CB,1,1,190,5-10,Maryland,4/8/1991,4,,New York Jets / 3rd / 80th pick / 2014,
23,Rodney McLeod\McLeRo00,28,S,3,3,195,5-10,Virginia,6/23/1990,6,,,$6000000
31,Jalen Mills\MillJa02,24,CB,7,7,191,6-0,LSU,4/6/1994,2,,Philadelphia Eagles / 7th / 233rd pick / 2016,$630000
94,Haloti Ngata\NgatHa20,34,DT,4,3,340,6-4,Oregon,1/21/1984,12,,Baltimore Ravens / 1st / 12th pick / 2006,$1015000
83,Joshua Perkins\PerkJo02,25,TE,7,1,223,6-3,Washington,8/5/1993,2,,,$555000
71,Jason Peters\PeteJa21,36,T,7,7,328,6-4,Arkansas,1/22/1982,14,,,$6750000
69,Matt Pryor\PryoMa00,24,OT,,,338,6-7,TCU,12/16/1994,Rook,,Philadelphia Eagles / 6th / 206th pick / 2018,$480000
50,LaRoy Reynolds\ReynLa00,28,LB,7,0,240,6-1,Virginia,11/3/1990,5,,,$790000
