No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
92,Olasunkanmi Adeniyi\AdenOl00,21,DE,,,248,6-1,Toledo,9/12/1997,Rook,,,$363000
29,Brian Allen\AlleBr01,25,CB,2,0,215,6-3,Utah,10/21/1993,1,,Pittsburgh Steelers / 5th / 173rd pick / 2017,$129200
27,Marcus Allen\AlleMa03,22,S,,,215,6-2,Penn St.,8/7/1996,Rook,,Pittsburgh Steelers / 5th / 148th pick / 2018,$480000
94,Tyson Alualu\AluaTy99,31,DT,5,0,304,6-3,California,5/12/1987,8,,Jacksonville Jaguars / 1st / 10th pick / 2010,$3000000
69,Zach Banner\BannZa00,25,OG,,,360,6-8,USC,12/25/1993,1,,Indianapolis Colts / 4th / 137th pick / 2017,$555000
26,Le'Veon Bell\BellLe00,26,RB,,,225,6-1,Michigan St.,2/18/1992,5,,Pittsburgh Steelers / 2nd / 48th pick / 2013,$14544000
31,Nat Berhe\BerhNa00,27,SS,4,0,195,5-11,San Diego St.,7/6/1991,4,,New York Giants / 5th / 152nd pick / 2014,$790000
4,Jordan Berry\BerrJo00,27,P,6,0,195,6-5,East. Kentucky,3/18/1991,3,,,$1907000
51,Jonathan Bostic\BostJo00,27,LB,6,6,245,6-1,Florida,5/5/1991,5,,Chicago Bears / 2nd / 50th pick / 2013,$800000
9,Chris Boswell\BoswCh00,27,K,6,0,185,6-2,Rice,3/16/1991,3,,,$705000
84,Antonio Brown\BrowAn04,30,WR,6,6,181,5-10,Central Michigan,7/10/1988,8,,Pittsburgh Steelers / 6th / 195th pick / 2010,$915000
42,Morgan Burnett\BurnMo99,29,DB,2,1,209,6-1,Georgia Tech,1/13/1989,8,,Green Bay Packers / 3rd / 71st pick / 2010,$1000000
25,Artie Burns\BurnAr00,23,CB,6,5,197,6-0,Miami (FL),5/1/1995,2,,Pittsburgh Steelers / 1st / 25th pick / 2016,$1321907
57,Kameron Canaday\CanaKa00,26,LS,6,0,245,6-4,Portland St.,8/20/1992,2,,,$630000
62,Joe Cheek\CheeJo00,26,OL,,,311,6-7,,12/2/1992,Rook,,,$363000
56,Anthony Chickillo\ChicAn00,26,DE,6,0,255,6-3,Miami (FL),12/10/1992,3,,Pittsburgh Steelers / 6th / 212th pick / 2015,$1907000
30,James Conner\ConnJa00,23,RB,6,5,233,6-1,Pittsburgh,5/5/1995,1,,Pittsburgh Steelers / 3rd / 105th pick / 2017,$578000
37,Jordan Dangerfield\DangJo00,28,FS,6,0,199,5-11,Towson,12/25/1990,4,,,$555000
21,Sean Davis\DaviSe00,25,FS,6,6,202,6-1,Maryland,10/23/1993,2,,Pittsburgh Steelers / 2nd / 58th pick / 2016,$821543
66,David DeCastro\DeCaDa00,28,G,4,4,316,6-5,Stanford,1/11/1990,6,,Pittsburgh Steelers / 1st / 24th pick / 2012,$790000
5,Joshua Dobbs\DobbJo00,23,QB,1,0,216,6-3,Tennessee,1/26/1995,Rook,,Pittsburgh Steelers / 4th / 135th pick / 2017,$555000
48,Bud Dupree\DuprAl00,25,DE,6,6,269,6-4,Kentucky,2/12/1993,3,,Pittsburgh Steelers / 1st / 22nd pick / 2015,$1692583
34,Terrell Edmunds\EdmuTe00,21,S,6,5,217,6-1,Virginia Tech,1/20/1997,Rook,,Pittsburgh Steelers / 1st / 28th pick / 2018,$480000
71,Matt Feiler\FeilMa00,26,T,2,1,330,6-6,Bloomsburg,7/7/1992,4,,,$555000
67,B.J. Finney\FinnB.01,27,C,6,2,318,6-4,Kansas St.,10/26/1991,2,,,$630000
54,L.J. Fort\FortL.00,28,LB,5,0,232,6-0,Northern Iowa,1/3/1990,6,,,$705000
73,Ramon Foster\FostRa21,32,T,6,6,328,6-5,Tennessee,1/7/1986,9,,,$2675000
77,Marcus Gilbert\GilbMa00,30,OL,5,5,330,6-6,Florida,2/15/1988,7,,Pittsburgh Steelers / 2nd / 63rd pick / 2011,$4050000
39,Markus Golden\GoldMa00,25,OLB,,,205,6-0,Missouri,4/27/1993,3,,Arizona Cardinals / 2nd / 58th pick / 2015,$363000
85,Xavier Grimble\GrimXa00,26,TE,6,1,261,6-4,USC,9/22/1992,4,,,$630000
23,Joe Haden\HadeJo99,29,DB,5,5,195,5-11,Florida,4/14/1989,8,,Cleveland Browns / 1st / 7th pick / 2010,$9000000
79,Javon Hargrave\HargJa00,25,DT,6,5,305,6-2,South Carolina St.,2/7/1993,2,,Pittsburgh Steelers / 3rd / 89th pick / 2016,$691000
65,Jerald Hawkins\HawkJe00,25,OT,,,305,6-6,LSU,10/16/1993,1,,Pittsburgh Steelers / 4th / 123rd pick / 2016,$393000
97,Cameron Heyward\HeywCa01,29,DE,6,6,295,6-5,Ohio St.,5/6/1989,7,,Pittsburgh Steelers / 1st / 31st pick / 2011,$915000
88,Darrius Heyward-Bey\HeywDa00,31,WR,4,0,210,6-2,Maryland,2/26/1987,9,,Oakland Raiders / 1st / 7th pick / 2009,$1200000
28,Mike Hilton\HiltMi01,24,CB,5,1,184,5-9,Mississippi,3/9/1994,1,,,$555000
11,Justin Hunter\HuntJu00,27,WR,3,0,203,6-4,Tennessee,5/20/1991,5,,Tennessee Titans / 2nd / 34th pick / 2013,$790000
81,Jesse James\JameJe00,24,TE,6,4,261,6-7,Penn St.,6/4/1994,3,,Pittsburgh Steelers / 5th / 160th pick / 2015,$1907000
38,Trey Johnson\JohnTr08,24,DB,,,170,5-11,,9/27/1994,Rook,,,$363000
46,Keith Kelsey\KelsKe00,23,ILB,,,233,6-0,Louisville,3/17/1995,Rook,,,$363000
82,Ryan Malleck\MallRy02,25,TE,,,219,6-4,Virginia Tech,7/22/1993,1,,,$363000
44,Tyler Matakevich\MataTy00,26,ILB,6,1,235,6-1,Temple,12/22/1992,2,,Pittsburgh Steelers / 7th / 246th pick / 2016,$630000
93,Daniel McCullers\McCuDa00,26,DT,6,0,352,6-7,Tennessee,8/11/1992,4,,Pittsburgh Steelers / 6th / 215th pick / 2014,$790000
89,Vance McDonald\McDoVa00,28,TE,5,4,267,6-4,Rice,6/13/1990,5,,San Francisco 49ers / 2nd / 55th pick / 2013,$790000
80,Jake McGee\McGeJa01,27,TE,,,250,6-5,Florida,9/19/1991,Rook,,,$363000
45,Roosevelt Nix\NixxRo01,26,FB,6,0,248,5-11,Kent St.,3/30/1992,3,,,$1000000
76,Chukwuma Okorafor\OkorCh00,21,OT,6,1,320,6-6,West. Michigan,8/8/1997,Rook,,Pittsburgh Steelers / 3rd / 92nd pick / 2018,$480000
53,Maurkice Pouncey\PounMa20,29,C,6,6,304,6-4,Florida,7/24/1989,8,,Pittsburgh Steelers / 1st / 18th pick / 2010,$7000000
22,Stevan Ridley\RidlSt00,29,RB,5,0,220,5-11,LSU,1/27/1989,7,,New England Patriots / 3rd / 73rd pick / 2011,$790000
7,Ben Roethlisberger\RoetBe00,36,QB,6,6,240,6-5,Miami (OH),3/2/1982,14,,Pittsburgh Steelers / 1st / 11th pick / 2004,$12000000
