No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
11,Marcell Ateman\AtemMa00,24,WR,,,216,6-4,Oklahoma St.,9/16/1994,Rook,,Oakland Raiders / 7th / 228th pick / 2018,$129200
95,Fadol Brown\BrowFa00,25,DE,5,0,282,6-4,Mississippi,4/15/1993,Rook,,,$480000
10,Martavis Bryant\BryaMa00,27,WR,5,1,210,6-4,Clemson,12/20/1991,4,,Pittsburgh Steelers / 4th / 118th pick / 2014,$663529
46,Jason Cabinda\CabiJa00,22,ILB,,,243,6-1,Penn St.,3/17/1996,Rook,,,$129200
91,Shilique Calhoun\CalhSh00,26,DE,3,0,250,6-4,Michigan St.,3/20/1992,2,,Oakland Raiders / 3rd / 75th pick / 2016,$489705
8,Daniel Carlson\CarlDa00,23,K,,,213,6-5,Auburn,1/23/1995,Rook,,Minnesota Vikings / 5th / 167th pick / 2018,
4,Derek Carr\CarrDe02,27,QB,6,6,215,6-3,Fresno St.,3/28/1991,4,,Oakland Raiders / 2nd / 36th pick / 2014,$7400000
85,Derek Carrier\CarrDe00,28,WR,6,2,244,6-4,Beloit,7/25/1990,6,,,$1150000
69,T.J. Clemmings\ClemT.00,27,OT,3,0,310,6-5,Pittsburgh,11/18/1991,3,,Minnesota Vikings / 4th / 110th pick / 2015,$1907000
21,Gareon Conley\ConlGa00,23,CB,6,5,195,6-0,Ohio St.,6/29/1995,1,,Oakland Raiders / 1st / 24th pick / 2017,$940792
87,Jared Cook\CookJa02,31,TE,6,6,254,6-5,South Carolina,4/7/1987,9,,Tennessee Titans / 3rd / 89th pick / 2009,$5000000
48,Andrew DePaola\DePaAn00,31,LS,1,0,230,6-2,Rutgers,7/28/1987,4,,,$790000
78,Justin Ellis\ElliJu01,28,DT,1,1,334,6-2,Louisiana Tech,12/27/1990,4,,Oakland Raiders / 4th / 107th pick / 2014,$2500000
76,Jon Feliciano\FeliJo00,26,OG,6,2,325,6-4,Miami (FL),2/10/1992,3,,Oakland Raiders / 4th / 128th pick / 2015,$705000
31,Marcus Gilchrist\GilcMa00,30,DB,6,6,200,5-10,Clemson,12/8/1988,7,,San Diego Chargers / 2nd / 50th pick / 2011,$2000000
29,Leon Hall\HallLe98,34,DB,6,3,195,5-11,Michigan,12/9/1984,11,,Cincinnati Bengals / 1st / 18th pick / 2007,$915000
92,P.J. Hall\HallP.00,23,DT,4,1,308,6-1,Sam Houston St.,4/5/1995,Rook,,Oakland Raiders / 2nd / 57th pick / 2018,$480000
90,Johnathan Hankins\HankJo00,26,DT,5,4,325,6-2,Ohio St.,3/29/1992,5,,New York Giants / 2nd / 49th pick / 2013,$1534118
17,Dwayne Harris\HarrDw00,31,WR,5,0,206,5-11,East Carolina,9/16/1987,7,,Dallas Cowboys / 6th / 176th pick / 2011,$915000
25,Erik Harris\HarrEr00,28,DB,6,0,225,6-3,California (PA),4/2/1990,2,,,$630000
61,Rodney Hudson\HudsRo00,29,OL,6,6,300,6-2,Florida St.,7/12/1989,7,,Kansas City Chiefs / 2nd / 55th pick / 2011,$915000
73,Maurice Hurst\HursMa00,23,DT,6,5,291,6-2,Michigan,5/9/1995,Rook,,Oakland Raiders / 5th / 140th pick / 2018,$480000
51,Bruce Irvin\IrviBr00,31,DE,6,6,250,6-3,West Virginia,11/1/1987,6,,Seattle Seahawks / 1st / 15th pick / 2012,$8000000
66,Gabe Jackson\JackGa00,27,OG,6,6,335,6-3,Mississippi St.,7/12/1991,4,,Oakland Raiders / 3rd / 81st pick / 2014,$4250000
42,Karl Joseph\JoseKa00,25,SS,3,0,205,5-10,West Virginia,9/8/1993,2,,Oakland Raiders / 1st / 14th pick / 2016,$1530392
99,Arden Key\KeyxAr00,22,DE,6,1,238,6-5,LSU,5/3/1996,Rook,,Oakland Raiders / 3rd / 87th pick / 2018,$480000
79,Denver Kirkland\KirkDe00,24,G,,,335,6-5,Arkansas,3/6/1994,2,,,$129200
19,Brandon LaFell\LaFeBr00,32,WR,2,1,210,6-3,LSU,11/4/1986,8,,Carolina Panthers / 3rd / 78th pick / 2010,$915000
54,Emmanuel Lamur\LamuEm00,29,LB,6,3,245,6-4,Kansas St.,6/8/1989,6,,,$790000
55,Marquel Lee\LeexMa01,23,ILB,6,4,235,6-3,Wake Forest,10/21/1995,1,,Oakland Raiders / 5th / 168th pick / 2017,$555000
24,Marshawn Lynch\LyncMa00,32,RB,6,6,215,5-11,California,4/22/1986,11,,Buffalo Bills / 1st / 12th pick / 2007,$2500000
28,Doug Martin\MartDo00,29,RB,6,0,223,5-9,Boise St.,1/13/1989,6,,Tampa Bay Buccaneers / 1st / 31st pick / 2012,$850000
10,A.J. McCarron\McCaA.00,28,QB,,,215,6-3,Alabama,9/13/1990,4,,Cincinnati Bengals / 5th / 164th pick / 2014,$900000
97,Clinton McDonald\McDoCl99,31,DT,5,0,297,6-2,Memphis,1/6/1987,9,,Cincinnati Bengals / 7th / 249th pick / 2009,$1534118
23,Dexter McDonald\McDoDe02,27,CB,,,200,6-1,Kansas,11/30/1991,3,,Oakland Raiders / 7th / 242nd pick / 2015,$705000
22,Rashaan Melvin\MelvRa00,29,CB,6,5,196,6-2,Northern Illinois,10/2/1989,5,,,$1850000
77,Kolton Miller\MillKo00,23,OT,6,6,309,6-8,UCLA,10/2/1995,Rook,,Oakland Raiders / 1st / 15th pick / 2018,$480000
37,Tevin Mitchel\MitcTe01,26,CB,,,192,6-0,Arkansas,8/3/1992,Rook,,Washington Redskins / 6th / 182nd pick / 2015,$363000
50,Nicholas Morrow\MorrNi00,23,LB,6,1,224,6-0,,7/10/1995,1,,,$555000
71,Justin Murray\MurrJu00,25,T,2,0,306,6-5,,4/19/1993,Rook,,,$480000
82,Jordy Nelson\NelsJo00,33,WR,6,5,217,6-3,Kansas St.,5/31/1985,10,,Green Bay Packers / 2nd / 36th pick / 2008,$3400000
23,Nick Nelson\NelsNi00,22,CB,,,200,5-11,Wisconsin,10/16/1996,Rook,,Oakland Raiders / 4th / 110th pick / 2018,$480000
27,Reggie Nelson\NelsRe99,35,DB,6,6,210,5-11,Florida,9/21/1983,11,,Jacksonville Jaguars / 1st / 21st pick / 2007,$1150000
6,Mike Nugent\nugenmik01,36,K,3,0,190,5-10,Ohio St.,3/2/1982,13,,New York Jets / 2nd / 47th pick / 2005,$1015000
70,Kelechi Osemele\OsemKe00,29,T,4,4,330,6-5,Iowa St.,6/24/1989,6,,Baltimore Ravens / 2nd / 60th pick / 2012,$9700000
75,Brandon Parker\ParkBr01,23,OT,5,2,305,6-8,North Carolina A&T,10/21/1995,Rook,,Oakland Raiders / 3rd / 65th pick / 2018,$480000
72,Donald Penn\PennDo20,35,T,4,4,315,6-4,Utah St.,4/27/1983,11,,,$3000000
9,Eddy Pineiro\PineEd00,23,K,,,185,6-0,,9/13/1995,Rook,,,$363000
30,Jalen Richard\RichJa01,25,RB,6,0,205,5-8,Southern Miss,10/15/1993,2,,,$630000
10,Seth Roberts\RobeSe00,27,WR,5,0,195,6-2,West Alabama,2/22/1991,4,,,$2250000
36,Dominique Rodgers-Cromartie\RodgDo99,32,DB,6,1,203,6-2,Tennessee St.,4/7/1986,10,,Arizona Cardinals / 1st / 16th pick / 2008,$1015000
93,Ahtyba Rubin\RubiAh99,32,NT,,,315,6-2,Iowa St.,7/25/1986,10,,Cleveland Browns / 6th / 190th pick / 2008,$1015000
98,Frostee Rucker\RuckFr99,35,DE,5,5,261,6-3,USC,9/14/1983,11,,Cincinnati Bengals / 3rd / 91st pick / 2006,$1015000
47,Trent Sieg\SiegTr00,23,LS,5,0,240,6-3,,5/19/1995,Rook,,,$471765
67,Ian Silberman\SilbIa00,26,OG,,,305,6-5,FloridaBoston Col.,10/10/1992,3,,San Francisco 49ers / 6th / 190th pick / 2015,$481767
41,Keith Smith\SmitKe03,26,LB,6,1,240,6-0,San Jose St.,4/8/1992,4,,,$790000
86,Lee Smith\SmitLe00,31,TE,6,2,265,6-6,TennesseeMarshall,11/21/1987,7,,New England Patriots / 5th / 159th pick / 2011,$2000000
5,Johnny Townsend\TownJo01,23,P,6,0,210,6-1,Florida,2/14/1995,Rook,,Oakland Raiders / 5th / 173rd pick / 2018,$480000
94,Eddie Vanderdoes\VandEd00,24,DT,,,305,6-4,UCLA,10/13/1994,1,,Oakland Raiders / 3rd / 88th pick / 2017,$589000
34,Chris Warren\WarrCh01,22,RB,,,246,6-2,,6/6/1996,Rook,,,$363000
33,DeAndre Washington\WashDe00,25,RB,,,205,5-8,Texas Tech,2/22/1993,2,,Oakland Raiders / 5th / 143rd pick / 2016,$630000
59,Tahir Whitehead\WhitTa00,28,OLB,6,6,241,6-2,Temple,4/2/1990,6,,Detroit Lions / 5th / 138th pick / 2012,$3100000
58,Kyle Wilber\WilbKy00,29,OLB,6,0,245,6-4,Wake Forest,4/26/1989,6,,Dallas Cowboys / 4th / 113th pick / 2012,$790000
20,Daryl Worley\WorlDa00,23,CB,2,1,205,6-1,West Virginia,2/22/1995,2,,Carolina Panthers / 3rd / 77th pick / 2016,$481767
,Team Total,27.8,,6,,247.9,6-2.2,,,4.8,,,
