No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
55,Brian Allen\AlleBr02,23,C,4,0,303,6-2,Michigan St.,10/11/1995,Rook,,Los Angeles Rams / 4th / 111th pick / 2018,$480000
26,Mark Barron\BarrMa00,29,LB,3,3,230,6-2,Alabama,10/27/1989,6,,Tampa Bay Buccaneers / 1st / 7th pick / 2012,$6499999
66,Austin Blythe\BlytAu00,26,C,7,7,298,6-3,Iowa,6/16/1992,2,,Indianapolis Colts / 7th / 248th pick / 2016,$630000
90,Michael Brockers\BrocMi00,28,DT,7,7,305,6-5,LSU,12/21/1990,6,,St. Louis Rams / 1st / 14th pick / 2012,$5250000
68,Jamon Brown\BrowJa04,25,OT,4,0,340,6-4,Louisville,3/15/1993,3,,St. Louis Rams / 3rd / 72nd pick / 2015,$1682647
34,Malcolm Brown\BrowMa03,25,RB,7,0,222,5-11,Texas,5/15/1993,3,,,$630000
41,Marqui Christian\ChriMa00,24,SS,7,0,207,5-11,Midwestern St.,10/27/1994,2,,Arizona Cardinals / 5th / 167th pick / 2016,$630000
12,Brandin Cooks\CookBr00,25,WR,7,7,183,5-10,Oregon St.,9/25/1993,4,,New Orleans Saints / 1st / 20th pick / 2014,$4000000
10,Pharoh Cooper\CoopPh00,23,WR,1,0,208,5-11,South Carolina,3/7/1995,2,,Los Angeles Rams / 4th / 117th pick / 2016,$406941
24,Blake Countess\CounBl00,25,CB,7,0,191,5-10,AuburnMichigan,8/8/1993,2,,Philadelphia Eagles / 6th / 196th pick / 2016,$630000
33,Justin Davis\DaviJu00,23,RB,5,0,199,6-1,USC,11/11/1995,1,,,$555000
99,Aaron Donald\DonaAa00,27,DT,7,7,280,6-1,Pittsburgh,5/23/1991,4,,St. Louis Rams / 1st / 13th pick / 2014,$892000
91,Dominique Easley\EaslDo00,26,DT,3,3,263,6-2,Florida,4/28/1992,4,,New England Patriots / 1st / 29th pick / 2014,$705000
50,Samson Ebukam\EbukSa00,23,OLB,7,7,245,6-3,East. Washington,5/9/1995,1,,Los Angeles Rams / 4th / 125th pick / 2017,$555000
81,Gerald Everett\EverGe00,24,TE,7,0,240,6-3,South Alabama,6/25/1994,1,,Los Angeles Rams / 2nd / 44th pick / 2017,$739749
97,Morgan Fox\FoxxMo00,24,DL,,,275,6-3,Colorado State-Pueblo,9/12/1994,2,,,$393000
57,John Franklin-Myers\FranJo02,22,DE,7,0,288,6-4,S.F. Austin,9/26/1996,Rook,,Los Angeles Rams / 4th / 135th pick / 2018,$480000
16,Jared Goff\GoffJa00,24,QB,7,7,222,6-4,California,10/14/1994,2,,Los Angeles Rams / 1st / 1st pick / 2016,$2989788
30,Todd Gurley\GurlTo01,24,RB,7,7,224,6-1,Georgia,8/3/1994,3,,St. Louis Rams / 1st / 10th pick / 2015,$950000
54,Bryce Hager\HageBr00,26,ILB,7,0,237,6-1,Baylor,5/4/1992,3,,St. Louis Rams / 7th / 224th pick / 2015,$705000
36,Dominique Hatfield\HatfDo00,24,CB,4,0,178,5-10,Utah,12/13/1994,1,,,$129200
79,Rob Havenstein\HaveRo00,26,OT,7,7,330,6-8,Wisconsin,5/13/1992,3,,St. Louis Rams / 2nd / 57th pick / 2015,$976367
6,Johnny Hekker\HekkJo00,28,P,7,0,241,6-5,Oregon St.,2/8/1990,6,,,$790000
89,Tyler Higbee\HigbTy00,25,TE,7,7,255,6-6,West. Kentucky,1/1/1993,2,,Los Angeles Rams / 4th / 110th pick / 2016,$630000
32,Troy Hill\HillTr01,27,CB,7,3,183,5-11,Oregon,8/29/1991,3,,,$705000
11,KhaDarel Hodge\HodgKh00,23,WR,5,0,205,6-2,,1/3/1995,Rook,,,$129200
43,John Johnson\JohnJo10,23,S,7,7,209,6-0,Boston Col.,12/19/1995,1,,Los Angeles Rams / 3rd / 91st pick / 2017,$584000
69,Sebastian Joseph\JoseSe00,23,DT,,,310,6-4,Rutgers,3/21/1995,Rook,,Los Angeles Rams / 6th / 195th pick / 2018,$480000
20,Lamarcus Joyner\JoynLa00,28,CB,7,7,191,5-8,Florida St.,11/27/1990,4,,St. Louis Rams / 2nd / 41st pick / 2014,$11287000
42,John Kelly\KellJo00,22,RB,,,205,5-10,Tennessee,10/4/1996,Rook,,Los Angeles Rams / 6th / 176th pick / 2018,$480000
59,Micah Kiser\KiseMi00,23,ILB,7,0,244,6-0,Virginia,1/25/1995,Rook,,Los Angeles Rams / 5th / 147th pick / 2018,$480000
18,Cooper Kupp\KuppCo00,25,WR,6,6,208,6-2,East. Washington,6/15/1993,1,,Los Angeles Rams / 3rd / 69th pick / 2017,$640000
53,Justin Lawler\LawlJu00,24,DE,7,0,265,6-4,SMU,12/23/1994,Rook,,Los Angeles Rams / 7th / 244th pick / 2018,$480000
58,Cory Littleton\LittCo01,25,LB,7,7,228,6-3,Washington,11/18/1993,2,,,$630000
96,Matt Longacre\LongMa00,27,DE,7,4,265,6-3,Northwest Missouri State,9/21/1991,3,,,$705000
14,Sean Mannion\MannSe00,26,QB,1,0,223,6-6,Oregon St.,4/25/1992,3,,St. Louis Rams / 3rd / 89th pick / 2015,$877778
44,Jake McQuaide\McQuJa00,31,LS,7,0,235,6-2,Ohio St.,12/7/1987,7,,,$915000
82,Johnny Mundt\MundJo00,24,TE,7,0,233,6-4,Oregon,11/23/1994,1,,,$480000
19,Jojo Natson\NatsJo00,24,WR,4,0,153,5-7,,2/1/1994,1,,,$451760
70,Joseph Noteboom\NoteJo00,23,OT,7,0,321,6-5,TCU,6/19/1995,Rook,,Los Angeles Rams / 3rd / 89th pick / 2018,$480000
45,Ogbonnia Okoronkwo\OkorOg00,23,DE,,,253,6-2,Oklahoma,4/24/1995,Rook,,Los Angeles Rams / 5th / 160th pick / 2018,$363000
22,Marcus Peters\PeteMa00,25,CB,7,7,197,6-0,Washington,1/9/1993,3,,Kansas City Chiefs / 1st / 18th pick / 2015,$1741931
25,Kevin Peterson\PeteKe01,24,CB,,,185,5-11,Oklahoma St.,3/22/1994,1,,,$378000
83,Josh Reynolds\ReynJo00,23,WR,7,1,196,6-3,Texas A&M,2/16/1995,1,,Los Angeles Rams / 4th / 117th pick / 2017,$555000
23,Nickell Robey-Coleman\RobeNi00,26,CB,7,0,180,5-8,USC,1/17/1992,5,,,$2125000
76,Rodger Saffold\SaffRo20,30,T,7,7,323,6-5,Indiana,6/6/1988,8,,St. Louis Rams / 2nd / 33rd pick / 2010,$5375000
37,Sam Shields\ShieSa00,31,DB,7,1,184,5-11,Miami (FL),12/8/1987,8,,,$915000
56,Garrett Sickels\SickGa00,24,DE,,,254,6-4,Penn St.,9/24/1994,1,,,$363000
92,Tanzel Smart\SmarTa00,24,DT,,,295,6-1,Tulane,11/6/1994,1,,Los Angeles Rams / 6th / 189th pick / 2017,$555000
93,Ndamukong Suh\SuhxNd99,31,DT,7,7,305,6-4,Nebraska,1/6/1987,8,,Detroit Lions / 1st / 2nd pick / 2010,$14000000
65,John Sullivan\SullJo24,33,C,7,7,312,6-4,Notre Dame,8/8/1985,10,,Minnesota Vikings / 6th / 187th pick / 2008,$999999
21,Aqib Talib\TaliAq99,32,DB,3,3,205,6-1,Kansas,2/13/1986,10,,Tampa Bay Buccaneers / 1st / 20th pick / 2008,$11000000
