No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
16,Quincy Adeboyejo\AdebQu00,23,WR,,,200,6-3,Mississippi,5/26/1995,1,,,$363000
37,Javorius Allen\AlleJa01,27,RB,7,0,218,6-0,USC,8/27/1991,3,,Baltimore Ravens / 4th / 125th pick / 2015,$705000
89,Mark Andrews\AndrMa00,22,TE,7,2,256,6-5,Oklahoma,9/6/1996,Rook,,Baltimore Ravens / 3rd / 86th pick / 2018,$480000
28,Anthony Averett\AverAn00,24,CB,2,0,178,5-11,Alabama,11/30/1994,Rook,,Baltimore Ravens / 4th / 118th pick / 2018,$480000
49,Chris Board\BoarCh00,23,LB,7,0,229,6-2,,7/23/1995,Rook,,,$480000
54,Tyus Bowser\BowsTy00,23,OLB,6,0,242,6-3,Houston,5/23/1995,1,,Baltimore Ravens / 2nd / 47th pick / 2017,$718437
86,Nick Boyle\BoylNi00,25,TE,7,5,270,6-4,Delaware,2/17/1993,3,,Baltimore Ravens / 5th / 171st pick / 2015,$705000
77,Bradley Bozeman\BozeBr00,24,C,7,1,317,6-5,Alabama,11/24/1994,Rook,,Baltimore Ravens / 6th / 215th pick / 2018,$480000
53,Bam Bradley\BradBa00,24,OLB,,,232,5-11,Pittsburgh,6/26/1994,1,,,$378000
13,John Brown\BrowJo02,28,WR,7,6,178,5-11,Pittsburg St.,4/3/1990,4,,Arizona Cardinals / 3rd / 91st pick / 2014,$1000000
78,Orlando Brown\BrowOr00,22,OT,7,1,345,6-8,Oklahoma,5/2/1996,Rook,,Baltimore Ravens / 3rd / 83rd pick / 2018,$480000
26,Maurice Canady\CanaMa00,24,CB,1,0,193,6-1,Virginia,5/26/1994,2,,Baltimore Ravens / 6th / 209th pick / 2016,$630000
24,Brandon Carr\CarrBr99,32,DB,7,7,210,6-0,Grand Valley St.,5/19/1986,10,,Kansas City Chiefs / 5th / 140th pick / 2008,$4500000
36,Chuck Clark\ClarCh00,23,FS,7,0,205,6-0,Virginia Tech,4/19/1995,1,,Baltimore Ravens / 6th / 186th pick / 2017,$555000
34,Alex Collins\CollAl00,24,RB,7,7,208,5-10,Arkansas,8/26/1994,2,,Seattle Seahawks / 5th / 171st pick / 2016,$630000
46,Morgan Cox\CoxxMo00,32,C,7,0,233,6-4,Tennessee,4/26/1986,8,,,$1000000
15,Michael Crabtree\CrabMi00,31,WR,7,7,215,6-1,Texas Tech,9/14/1987,9,,San Francisco 49ers / 1st / 10th pick / 2009,$1000000
30,Kenneth Dixon\DixoKe00,24,RB,1,0,228,5-10,Louisiana Tech,1/21/1994,2,,Baltimore Ravens / 4th / 134th pick / 2016,$630000
35,Gus Edwards\EdwaGu00,23,RB,2,0,238,6-1,,4/13/1995,Rook,,,$129200
21,DeShon Elliott\ElliDe02,21,SS,,,210,6-1,Texas,4/21/1997,Rook,,Baltimore Ravens / 6th / 190th pick / 2018,$363000
71,Jermaine Eluemunor\ElueJe00,24,OG,,,335,6-4,Texas A&M,12/13/1994,1,,Baltimore Ravens / 5th / 159th pick / 2017,$555000
5,Joe Flacco\FlacJo00,33,QB,7,7,245,6-6,PittsburghDelaware,1/16/1985,10,,Baltimore Ravens / 1st / 18th pick / 2008,$12000000
61,Hroniss Grasu\GrasHr00,27,C,1,0,301,6-3,Oregon,8/12/1991,3,,Chicago Bears / 3rd / 71st pick / 2015,$650588
3,Robert Griffin\GrifRo01,28,QB,,,213,6-2,Baylor,2/12/1990,6,,Washington Redskins / 1st / 2nd pick / 2012,$1000000
69,Willie Henry\HenrWi00,24,DT,3,0,291,6-3,Michigan,3/20/1994,1,,Baltimore Ravens / 4th / 132nd pick / 2016,$630000
43,Jaylen Hill\HillJa01,24,CB,,,175,5-10,Jacksonville St.,5/26/1994,1,,,$378000
29,Marlon Humphrey\HumpMa00,22,CB,6,5,197,6-0,Alabama,7/8/1996,1,,Baltimore Ravens / 1st / 16th pick / 2017,$1003522
81,Hayden Hurst\HursHa00,25,TE,3,0,245,6-4,South Carolina,8/24/1993,Rook,,Baltimore Ravens / 1st / 25th pick / 2018,$480000
74,James Hurst\HursJa00,27,OT,6,6,310,6-5,North Carolina,12/17/1991,4,,,$1000000
