No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
35,Maurice Alexander\AlexMa00,27,SS,2,0,220,6-2,Utah St.,2/16/1991,4,,St. Louis Rams / 4th / 110th pick / 2014,$604118
61,Ricky Ali'ifua\AliiRi00,27,DE,,,297,6-2,,12/2/1991,Rook,,,$363000
89,Doug Baldwin\BaldDo00,30,WR,4,4,192,5-10,Stanford,9/21/1988,7,,,$8250000
43,Emmanuel Beal\BealEm00,23,LB,,,223,6-0,,6/26/1995,Rook,,,$363000
68,Justin Britt\BritJu00,27,OT,6,5,315,6-6,Missouri,5/29/1991,4,,Seattle Seahawks / 2nd / 64th pick / 2014,$2750000
76,Duane Brown\BrowDu20,33,G,6,6,315,6-4,Virginia Tech,8/30/1985,10,,Houston Texans / 1st / 26th pick / 2008,$6250000
18,Jaron Brown\BrowJa03,28,WR,6,1,204,6-3,Clemson,1/8/1990,5,,,$800000
58,Austin Calitro\CaliAu00,24,LB,6,3,240,6-0,,1/10/1994,Rook,,,$480000
32,Chris Carson\CarsCh00,24,RB,5,5,222,5-11,Oklahoma St.,9/16/1994,1,,Seattle Seahawks / 7th / 249th pick / 2017,$555000
31,Kam Chancellor\ChanKa99,30,DB,,,225,6-3,Virginia Tech,4/3/1988,8,,Seattle Seahawks / 5th / 133rd pick / 2010,$6800000
55,Frank Clark\ClarFr01,25,DE,6,6,265,6-3,Michigan,6/14/1993,3,,Seattle Seahawks / 2nd / 63rd pick / 2015,$943938
28,Justin Coleman\ColeJu01,25,CB,6,1,190,5-11,Tennessee,3/27/1993,3,,,$2914000
87,Darrell Daniels\DaniDa02,24,TE,5,2,254,6-3,Washington,11/22/1994,1,,,$555000
82,Amara Darboh\DarbAm00,24,WR,,,215,6-2,Michigan,2/1/1994,1,,Seattle Seahawks / 3rd / 106th pick / 2017,$578000
27,Mike Davis\DaviMi01,25,RB,5,1,217,5-9,South Carolina,2/19/1993,3,,San Francisco 49ers / 4th / 126th pick / 2015,$800000
84,Ed Dickson\DickEd00,31,TE,,,250,6-4,Oregon,7/25/1987,8,,Baltimore Ravens / 3rd / 70th pick / 2010,$1000000
4,Michael Dickson\DickMi00,22,P,6,0,208,6-2,Texas,1/4/1996,Rook,,Seattle Seahawks / 5th / 149th pick / 2018,$480000
88,Will Dissly\DissWi00,22,TE,4,4,265,6-4,Washington,7/8/1996,Rook,,Seattle Seahawks / 4th / 120th pick / 2018,$480000
52,Emmanuel Ellerbee\ElleEm00,22,LB,,,235,6-1,,11/20/1996,Rook,,,$480000
74,George Fant\FantGe00,26,T,6,0,322,6-5,West. Kentucky,7/19/1992,2,,,$630000
37,Tre Flowers\FlowTr01,23,SS,5,5,203,6-3,Oklahoma St.,6/2/1995,Rook,,Seattle Seahawks / 5th / 146th pick / 2018,$480000
78,D.J. Fluker\FlukDJ00,27,OT,4,4,342,6-5,Alabama,3/13/1991,5,,San Diego Chargers / 1st / 11th pick / 2013,$800000
97,Poona Ford\FordPo00,23,DT,4,0,310,5-11,Texas,11/19/1995,Rook,,,$480000
94,Rasheem Green\GreeRa01,21,DT,3,0,279,6-4,USC,5/15/1997,Rook,,Seattle Seahawks / 3rd / 79th pick / 2018,$480000
49,Shaquem Griffin\GrifSh01,23,OLB,6,1,227,6-0,Central Florida,7/20/1995,Rook,,Seattle Seahawks / 5th / 141st pick / 2018,$480000
26,Shaquill Griffin\GrifSh00,23,DB,6,6,198,6-0,Central Florida,7/20/1995,1,,Seattle Seahawks / 3rd / 90th pick / 2017,$588000
42,Delano Hill\HillDe02,23,FS,4,0,216,6-1,Michigan,11/26/1995,1,,Seattle Seahawks / 3rd / 95th pick / 2017,$588000
7,Brett Hundley\HundBr00,25,QB,,,226,6-3,UCLA,6/15/1993,2,,Green Bay Packers / 5th / 147th pick / 2015,$705000
53,Joey Hunt\HuntJo00,24,C,6,1,299,6-2,TCU,2/22/1994,2,,Seattle Seahawks / 6th / 215th pick / 2016,$630000
65,Germain Ifedi\IfedGe00,24,OT,6,6,325,6-5,Texas A&M,6/2/1994,2,,Seattle Seahawks / 1st / 31st pick / 2016,$1201373
93,Branden Jackson\JackBr04,26,DE,3,0,295,6-4,Texas Tech,11/11/1992,2,,,$129200
11,Sebastian Janikowski\janikseb01,40,K,6,0,260,6-1,Florida St.,3/2/1978,18,,Oakland Raiders / 1st / 17th pick / 2000,$1015000
99,Quinton Jefferson\JeffQu00,25,DT,6,6,291,6-4,Maryland,3/31/1993,2,,Seattle Seahawks / 5th / 147th pick / 2016,$630000
73,Jamarco Jones\JoneJa08,22,OT,,,293,6-4,Ohio St.,6/4/1996,Rook,,Seattle Seahawks / 5th / 168th pick / 2018,$363000
92,Nazair Jones\JoneNa00,24,DT,4,0,292,6-5,North Carolina,12/13/1994,1,,Seattle Seahawks / 3rd / 102nd pick / 2017,$578000
95,Dion Jordan\JordDi00,28,DE,4,0,284,6-6,Oregon,3/5/1990,5,,Miami Dolphins / 1st / 3rd pick / 2013,$1907000
56,Mychal Kendricks\KendMy00,28,ILB,3,2,240,5-11,California,9/28/1990,6,,Philadelphia Eagles / 2nd / 46th pick / 2012,$743529
36,Akeem King\KingAk00,26,DB,5,1,215,6-1,San Jose St.,10/29/1992,3,,Atlanta Falcons / 7th / 249th pick / 2015,$555000
16,Tyler Lockett\LockTy00,26,WR,6,6,182,5-10,Kansas St.,9/28/1992,3,,Seattle Seahawks / 3rd / 69th pick / 2015,$2000000
24,Shalom Luani\LuanSh00,24,SS,3,0,202,6-0,Washington St.,8/5/1994,1,,Oakland Raiders / 7th / 221st pick / 2017,$121600
38,Tre Madden\MaddTr01,25,RB,6,0,235,6-0,USC,8/16/1993,1,,,$630000
15,Brandon Marshall\MarsBr00,34,WR,6,2,232,6-5,Central Florida,3/23/1984,12,,Denver Broncos / 4th / 119th pick / 2006,$1015000
59,Jacob Martin\MartJa02,23,LB,6,0,242,6-2,Temple,12/11/1995,Rook,,Seattle Seahawks / 6th / 186th pick / 2018,$480000
30,Bradley McDougald\McDoBr01,28,FS,6,6,215,6-1,Kansas,11/15/1990,5,,,$1500000
21,J.D. McKissic\McKiJ.00,25,WR,,,195,5-10,Arkansas St.,8/15/1993,2,,,$393000
51,Barkevious Mingo\MingBa00,28,OLB,6,6,235,6-5,LSU,10/4/1990,5,,Cleveland Browns / 1st / 6th pick / 2013,$1000000
83,David Moore\MoorDa03,23,WR,6,1,215,6-0,East Central (OK),1/15/1995,1,,Seattle Seahawks / 7th / 226th pick / 2017,$555000
69,Tyler Ott\OttxTy00,26,LS,6,0,253,6-3,Harvard,2/28/1992,3,,,$630000
20,Rashaad Penny\PennRa00,22,RB,6,0,220,5-11,San Diego St.,2/2/1996,Rook,,Seattle Seahawks / 1st / 27th pick / 2018,$480000
77,Ethan Pocic\PociEt00,23,C,3,2,320,6-6,LSU,8/5/1995,1,,Seattle Seahawks / 2nd / 58th pick / 2017,$665410
22,C.J. Prosise\ProsC.00,24,RB,3,0,225,6-1,Notre Dame,5/20/1994,2,,Seattle Seahawks / 3rd / 90th pick / 2016,$660000
90,Jarran Reed\ReedJa02,26,DT,6,6,306,6-3,Alabama,12/16/1992,2,,Seattle Seahawks / 2nd / 49th pick / 2016,$894512
66,Jordan Simmons\SimmJo00,24,G,1,0,339,6-4,,7/15/1994,Rook,,,$480000
98,Shamar Stephen\StepSh00,27,DT,6,5,309,6-5,Connecticut,2/25/1991,4,,Minnesota Vikings / 7th / 220th pick / 2014,$800000
64,J.R. Sweezy\SweeJ.00,29,G,6,6,298,6-5,North Carolina St.,4/8/1989,6,,Seattle Seahawks / 7th / 225th pick / 2012,$800000
29,Earl Thomas\ThomEa99,29,DB,4,4,202,5-10,Texas,5/7/1989,8,,Seattle Seahawks / 1st / 14th pick / 2010,$8500000
