No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
91,Arik Armstead\ArmsAr01,25,DE,7,7,292,6-7,Oregon,11/15/1993,3,,San Francisco 49ers / 1st / 17th pick / 2015,$1777177
3,C.J. Beathard\BeatC.00,25,QB,5,4,215,6-2,Iowa,11/16/1993,1,,San Francisco 49ers / 3rd / 104th pick / 2017,$625393
98,Ronald Blair\BlaiRo00,25,DE,7,0,270,6-4,Appalachian St.,1/23/1993,2,,San Francisco 49ers / 5th / 142nd pick / 2016,$630000
17,Victor Bolden\BoldVi00,23,WR,3,0,178,5-8,Oregon St.,4/4/1995,1,,,$424412
84,Kendrick Bourne\BourKe00,23,WR,7,0,203,6-1,East. Washington,8/4/1995,1,,,$555000
22,Matt Breida\BreiMa00,23,RB,7,6,190,5-10,Georgia Southern,2/28/1995,1,,,$555000
99,DeForest Buckner\BuckDe00,24,DE,7,7,300,6-7,Oregon,3/17/1994,2,,San Francisco 49ers / 1st / 7th pick / 2016,$630000
88,Garrett Celek\CeleGa00,30,TE,7,0,252,6-5,Michigan St.,5/29/1988,6,,,$1650000
27,Adrian Colbert\ColbAd00,25,SS,7,6,205,6-2,Miami (FL),10/6/1993,1,,San Francisco 49ers / 7th / 229th pick / 2017,$555000
78,Shon Coleman\ColeSh00,27,OT,,,310,6-5,Auburn,11/25/1991,2,,Cleveland Browns / 3rd / 76th pick / 2016,$658000
50,Brock Coyle\CoylBr00,28,LB,1,1,245,6-1,Montana,10/12/1990,4,,,$900000
96,Sheldon Day\DayxSh00,24,DT,7,0,294,6-1,Notre Dame,7/1/1994,2,,Jacksonville Jaguars / 4th / 103rd pick / 2016,$630000
82,Ross Dwelley\DwelRo00,23,TE,2,0,240,6-5,,1/26/1995,Rook,,,$129200
38,Antone Exum\ExumAn00,27,CB,7,2,219,6-0,Virginia Tech,2/27/1991,4,,Minnesota Vikings / 6th / 182nd pick / 2014,$705000
