No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
26,Andrew Adams\AdamAn00,26,S,3,0,205,5-11,Connecticut,10/28/1992,2,,,$395294
58,Kwon Alexander\AlexKw00,24,OLB,6,6,227,6-1,LSU,8/3/1994,3,,Tampa Bay Buccaneers / 4th / 124th pick / 2015,$1907000
91,Beau Allen\AlleBe00,27,DT,4,4,327,6-3,Wisconsin,11/14/1991,4,,Philadelphia Eagles / 7th / 224th pick / 2014,$2250000
9,Bryan Anger\AngeBr00,30,P,6,0,205,6-3,California,10/6/1988,6,,Jacksonville Jaguars / 3rd / 70th pick / 2012,$3000000
82,Antony Auclair\AuclAn00,25,TE,6,3,256,6-6,,5/28/1993,1,,,$555000
83,Sergio Bailey\BailSe00,24,WR,,,186,6-0,,3/20/1994,Rook,,,$363000
25,Peyton Barber\BarbPe01,24,RB,6,6,225,5-11,Auburn,2/27/1994,2,,,$630000
51,Kendell Beckwith\BeckKe00,24,ILB,,,243,6-2,LSU,12/2/1994,1,,Tampa Bay Buccaneers / 3rd / 107th pick / 2017,$578000
77,Caleb Benenoch\BeneCa00,24,OT,6,6,305,6-5,UCLA,8/8/1994,2,,Tampa Bay Buccaneers / 5th / 148th pick / 2016,$630000
59,Devante Bond\BondDe00,25,OLB,1,0,236,6-1,Oklahoma,7/3/1993,1,,Tampa Bay Buccaneers / 6th / 183rd pick / 2016,
84,Cameron Brate\BratCa00,27,TE,6,1,245,6-5,Harvard,7/3/1991,4,,,$1000000
49,Riley Bullough\BullRi00,25,ILB,,,228,6-2,Michigan St.,11/23/1993,1,,,
65,Alex Cappa\CappAl00,23,OT,,,305,6-6,Humboldt St.,1/27/1995,Rook,,Tampa Bay Buccaneers / 3rd / 94th pick / 2018,$480000
7,Chandler Catanzaro\CataCh00,27,K,6,0,200,6-3,Clemson,2/26/1991,4,,,$1350000
41,Jack Cichy\CichJa00,22,ILB,6,0,238,6-2,Wisconsin,5/5/1996,Rook,,Tampa Bay Buccaneers / 6th / 202nd pick / 2018,$480000
23,Chris Conte\ContCh00,29,DB,3,3,203,6-2,California,2/23/1989,7,,Chicago Bears / 3rd / 93rd pick / 2011,$2250000
45,Alan Cross\CrosAl00,25,TE,6,1,235,6-1,Memphis,5/2/1993,2,,,$630000
