No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Cap Hit
34,Adonis Alexander\AlexAd00,22,,1,0,207,6-3,Virginia Tech,11/7/1996,Rook,,Washington Redskins / 6th / 1st pick / 2018 Supp,$480000
93,Jonathan Allen\AlleJo01,23,DT,6,6,294,6-3,Alabama,1/16/1995,1,,Washington Redskins / 1st / 17th pick / 2017,$992108
52,Ryan Anderson\AndeRy00,24,OLB,6,0,253,6-2,Alabama,8/12/1994,1,,Washington Redskins / 2nd / 49th pick / 2017,$707033
30,Troy Apke\ApkeTr00,23,S,1,0,200,6-1,Penn St.,4/11/1995,Rook,,Washington Redskins / 4th / 109th pick / 2018,$480000
66,Tony Bergstrom\BergTo00,32,OT,6,3,310,6-5,Utah,8/8/1986,6,,Oakland Raiders / 3rd / 95th pick / 2012,$790000
35,Kapri Bibbs\BibbKa00,25,RB,4,0,203,5-11,Colorado St.,1/10/1993,4,,,$129200
99,Caleb Brantley\BranCa00,24,DT,1,0,307,6-2,Florida,9/2/1994,1,,Cleveland Browns / 6th / 185th pick / 2017,$555000
53,Zach Brown\BrowZa00,29,OLB,6,6,250,6-1,North Carolina,10/23/1989,6,,Tennessee Titans / 2nd / 52nd pick / 2012,$1000000
68,Tyler Catalina\CataTy00,25,OG,,,315,6-6,Georgia,1/24/1993,1,,,$378000
16,Jehu Chesson\ChesJe00,25,WR,2,0,204,6-2,Michigan,12/29/1993,1,,Kansas City Chiefs / 4th / 139th pick / 2017,$522353
72,Geron Christian\ChriGe01,22,OT,,,302,6-5,Louisville,9/10/1996,Rook,,Washington Redskins / 3rd / 74th pick / 2018,$480000
80,Jamison Crowder\CrowJa00,25,WR,4,3,177,5-9,Duke,6/17/1993,3,,Washington Redskins / 4th / 105th pick / 2015,$1907000
19,Robert Davis\DaviRo00,23,WR,,,212,6-3,Georgia St.,4/2/1995,1,,Washington Redskins / 6th / 209th pick / 2017,$378000
85,Vernon Davis\DaviVe00,34,TE,6,5,244,6-3,Maryland,1/31/1984,12,,San Francisco 49ers / 1st / 6th pick / 2006,$3750000
18,Josh Doctson\DoctJo00,26,WR,5,3,202,6-2,TCUWyoming,12/3/1992,2,,Washington Redskins / 1st / 22nd pick / 2016,$1363604
23,Quinton Dunbar\DunbQu00,26,WR,5,4,197,6-2,Florida,7/22/1992,3,,,$750000
55,Casey Dunn\DunnCa00,24,C,2,0,300,6-4,,10/11/1994,Rook,,,$480000
22,Deshazor Everett\EverDe01,26,CB,6,1,195,6-0,Texas A&M,2/22/1992,3,,,$875000
17,Michael Floyd\FloyMi00,29,WR,3,1,220,6-3,Notre Dame,11/27/1989,6,,Arizona Cardinals / 1st / 13th pick / 2012,$697059
54,Mason Foster\FostMa00,29,LB,6,6,250,6-1,Washington,3/1/1989,7,,Tampa Bay Buccaneers / 3rd / 84th pick / 2011,$1000000
82,Manasseh Garner\GarnMa00,26,TE,,,240,6-2,,3/11/1992,2,,,$363000
29,Derrius Guice\GuicDe00,21,RB,,,225,5-11,LSU,6/21/1997,Rook,,Washington Redskins / 2nd / 59th pick / 2018,$363000
51,Shaun Dion Hamilton\DionSh00,23,LB,6,0,235,6-0,Alabama,9/11/1995,Rook,,Washington Redskins / 6th / 197th pick / 2018,$480000
13,Maurice Harris\HarrMa05,26,WR,4,1,200,6-3,California,11/11/1992,2,,,$630000
40,Josh Harvey-Clemons\HarvJo01,24,SS,6,0,230,6-4,Louisville,2/20/1994,1,,Washington Redskins / 7th / 230th pick / 2017,$555000
38,Joshua Holsey\HolsJo01,24,CB,,,195,5-11,Auburn,6/25/1994,1,,Washington Redskins / 7th / 235th pick / 2017,$378000
3,Dustin Hopkins\HopkDu00,28,K,6,0,203,6-2,Florida St.,10/1/1990,5,,Buffalo Bills / 6th / 177th pick / 2013,$798928
98,Matthew Ioannidis\IoanMa01,24,DT,6,2,305,6-3,Temple,1/11/1994,2,,Washington Redskins / 5th / 152nd pick / 2016,$630000
20,Danny Johnson\JohnDa09,23,CB,6,0,181,5-9,,11/17/1995,Rook,,,$480000
